id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed,focalcutoff_met
60R,F,2001,16,58H,K14,58H,KK,21,M,69.11764706,6018,1.8333333333333333,Y
6K6,F,2010,7,60R,99L,60R,KK,22,M,67.64705882,6116,1.75,Y
6D6,F,2006,11,45F,79H,45F,KK,23,M,66.17647059,6046,2,Y
1R1,F,2013,4,6D6,6B8,6D6,KK,24,M,64.70588235,1181,0.6666666666666666,Y
86Z,F,2004,13,58H,30G,58H,KK,25,M,63.23529412,8626,1.8333333333333333,Y
7I8,F,2009,8,53E,68N,53E,KK,26,M,61.76470588,7098,1.8333333333333333,Y
5Q7,F,2013,4,7I8,8C3,7I8,KK,27,M,60.29411765,5177,0.9166666666666666,Y
2C4,F,2005,12,53E,57F,53E,KK,28,M,58.82352941,2034,1.9166666666666667,Y
0Q5,F,2012,5,2C4,43P,2C4,KK,29,M,57.35294118,175,0.9166666666666666,Y
6D9,F,2006,11,64R,56K,64R,KK,30,M,55.88235294,6049,1.9166666666666667,Y
6M7,F,2011,6,6D9,97Z,6D9,KK,31,M,54.41176471,6137,0.8333333333333334,Y
3F7,F,2007,10,75J,09L,75J,KK,32,M,52.94117647,3067,1.9166666666666667,Y
9Q5,F,2013,4,3F7,6B8,3F7,KK,33,M,51.47058824,9175,0.8333333333333334,Y
6C2,F,2005,12,75J,84J,75J,KK,34,M,50,6032,2,Y
2R9,F,2013,4,6C2,16R,6C2,KK,35,L,48.52941176,2189,0.75,Y
83Z,F,2004,13,58N,X81,58N,KK,36,L,47.05882353,8326,1.9166666666666667,Y
1O9,F,2012,5,83Z,27J,83Z,KK,37,L,45.58823529,1159,0.9166666666666666,Y
8I9,F,2009,8,83Z,94O,83Z,KK,38,L,44.11764706,8099,1.9166666666666667,Y
9I8,F,2009,8,3A2,20J,3A2,KK,39,L,42.64705882,9098,1.9166666666666667,Y
4Q4,F,2013,4,9I8,46N,9I8,KK,40,L,41.17647059,4174,0.8333333333333334,Y
3F5,F,2007,10,48J,56K,48J,KK,41,L,39.70588235,3065,1.8333333333333333,Y
3Q3,F,2013,4,3F5,6F1,3F5,KK,42,L,38.23529412,3173,0.9166666666666666,Y
44V,F,2004,13,O55,S56,O55,KK,43,L,36.76470588,4422,1.9166666666666667,Y
4P6,F,2012,5,44V,6A9,44V,KK,44,L,35.29411765,4166,0.9166666666666666,Y
3G3,F,2008,9,44V,58P,44V,KK,45,L,33.82352941,3073,1.9166666666666667,Y
37V,F,2003,14,19A,90B,19A,KK,46,L,32.35294118,3722,1.9166666666666667,Y
7Q3,F,2013,4,37V,6B8,37V,KK,47,L,30.88235294,7173,0.9166666666666666,Y
6L1,F,2010,7,37V,60T,37V,KK,48,L,29.41176471,6121,1.9166666666666667,Y
1C7,F,2005,12,19A,09L,19A,KK,49,L,27.94117647,1037,1.75,Y
4R4,F,2013,4,1C7,46Z,1C7,KK,50,L,26.47058824,4184,0.8333333333333334,Y
4M9,F,2011,6,1C7,64S,1C7,KK,51,L,25,4139,0.8333333333333334,Y
2F2,F,2007,10,L84,57F,L84,KK,52,L,23.52941176,2062,1.8333333333333333,Y
6D4,F,2006,11,L84,09L,L84,KK,53,L,22.05882353,6044,1.75,Y
2O7,F,2012,5,6D4,26P,6D4,KK,54,L,20.58823529,2157,0.9166666666666666,Y
7F0,F,2007,10,37D,94O,37D,KK,55,L,19.11764706,7060,1.8333333333333333,Y
5M5,F,2011,6,7F0,6A9,7F0,KK,56,L,17.64705882,5135,0.9166666666666666,Y
51V,F,2003,14,37D,45A,37D,KK,57,L,16.17647059,5122,1.8333333333333333,Y
93O,F,2000,17,L84,G23,L84,KK,58,L,14.70588235,9315,1.8333333333333333,Y
9H9,F,2008,9,93O,56K,93O,KK,59,L,13.23529412,9089,1.9166666666666667,Y
49V,F,2003,14,65A,29H,65A,KK,60,L,11.76470588,4922,1.9166666666666667,Y
9L9,F,2010,7,49V,60T,49V,KK,61,L,10.29411765,9129,1.9166666666666667,Y
25P,F,2000,17,65A,X57,65A,KK,62,L,8.823529412,2516,1.9166666666666667,Y
3R9,F,2013,4,25P,44H,25P,KK,63,L,7.352941176,3189,0.75,Y
6O7,F,2012,5,25P,44T,25P,KK,64,L,5.882352941,6157,0.9166666666666666,Y
55J,F,1998,19,65A,V79,65A,F,65,L,4.411764706,5510,1,Y
0J5,F,2009,8,55J,19T,55J,KK,66,L,2.941176471,105,1.9166666666666667,Y
1C5,F,2005,12,21G,79H,21G,KK,67,L,1.470588235,1035,1.8333333333333333,Y
1L1,F,2010,7,1C5,16R,1C5,KK,68,L,0,1121,1.8333333333333333,Y
94H,M,1998,19,X60,O15,X60,S,1,H,100,9408,1.9166666666666667,Y
16R,M,2001,16,06A,X98,06A,S,2,H,94.44444444,1618,1.8333333333333333,Y
56K,M,1999,18,46B,X48,46B,S,3,H,91.66666667,5611,1.9166666666666667,Y
27N,M,2000,17,77D,33A,77D,R,4,H,88.88888889,2714,1.8333333333333333,Y
27J,M,1997,20,J28,X94,J28,F,5,H,86.11111111,2710,1.75,Y
99L,M,1999,18,48B,51A,48B,F,6,H,83.33333333,9912,1.9166666666666667,Y
51J,M,1998,19,64A,T29,64A,F,7,H,80.55555556,5110,1.8333333333333333,Y
46Z,M,2004,13,J41,20J,J41,V,8,M,77.77777778,4626,1.9166666666666667,Y
73Z,M,2004,13,30O,07D,30O,F,9,M,75,7326,1.9166666666666667,Y
6L3,M,2010,7,86Z,60T,86Z,KK,10,M,72.22222222,6123,1.8333333333333333,Y
97Z,M,2004,13,28I,80B,28I,R,11,M,69.44444444,9726,1.9166666666666667,Y
64S,M,2002,15,59A,70C,59A,F,12,M,66.66666667,6419,1.9166666666666667,Y
98Z,M,2004,13,74B,25I,74B,R,13,M,63.88888889,9826,1.9166666666666667,Y
11Z,M,2003,14,74H,Z71,74H,R,14,M,61.11111111,1126,1.8333333333333333,Y
6A9,M,2004,13,29I,O15,29I,R,15,M,58.33333333,6019,1.9166666666666667,Y
1M8,M,2011,6,37V,17L,37V,KK,16,M,55.55555556,1138,0.8333333333333334,Y
2M4,M,2011,6,7A8,3A6,7A8,R,17,M,52.77777778,2134,0.8333333333333334,Y
3M3,M,2011,6,4F1,17L,4F1,KK,18,M,50,3133,0.8333333333333334,Y
6L4,M,2010,7,93O,17T,93O,KK,19,L,47.22222222,6124,1.9166666666666667,Y
4M0,M,2011,6,6D8,T82,6D8,R,20,L,44.44444444,4130,0.75,Y
5J3,M,2009,8,85V,91P,85V,R,21,L,41.66666667,5103,1.5833333333333333,Y
5K0,M,2010,7,7C3,25R,7C3,F,22,L,38.88888889,5110,1.8333333333333333,Y
8C9,M,2006,11,59F,99L,59F,R,23,L,36.11111111,8039,1.8333333333333333,Y
1P5,M,2012,5,74T,12Z,74T,KK,25,L,30.55555556,1165,0.9166666666666666,Y
4R3,M,2013,4,74T,0C7,74T,KK,26,L,27.77777778,4183,0.9166666666666666,Y
2R0,M,2013,4,2F2,61D,2F2,KK,27,L,25,2180,0.8333333333333334,Y
1R7,M,2013,4,6D9,6B8,6D9,KK,28,L,22.22222222,1187,0.8333333333333334,Y
3O7,M,2012,5,0B6,69I,0B6,KK,29,L,19.44444444,3157,0.75,Y
2O4,M,2012,5,2F2,1A6,2F2,KK,30,L,16.66666667,2154,0.8333333333333334,Y
3P5,M,2012,5,3F7,6B8,3F7,KK,31,L,13.88888889,3165,0.8333333333333334,Y
1S5,M,2013,4,9H9,6B8,9H9,KK,32,L,11.11111111,1195,0.8333333333333334,Y
0R2,M,2013,4,60R,8D2,60R,KK,33,L,8.333333333,182,0.9166666666666666,Y
1S8,M,2013,4,2C3,27N,2C3,KK,34,L,5.555555556,1198,0.9166666666666666,Y
3Q9,M,2013,4,76J,27N,76J,KK,35,L,2.777777778,3179,0.75,Y
4R7,M,2013,4,3G3,73Z,3G3,KK,36,l,0,4187,0.8333333333333334,Y
5P4,M,2012,5,9C5,53N,9C5,KK,NA,NA,NA,5164,0.16666666666666666,N
3O3,M,2012,5,93O,16R,93O,KK,NA,NA,NA,3153,0.08333333333333333,N
