groom_giver,groom_reciever,constrained_duration,observation_name
90T,4J4,324,2016-03-10_4J4_DP_6
1K1,5C6,128,2016-03-10_5C6_DP_5
2E4,0F0,239,2016-03-15_0F0_DP_3
3H0,0J4,98,2016-03-16_0J4_DP_6
25R,4C5,31,2016-03-16_4C5_DP_4
5C6,51Z,99,2016-03-16_51Z_DP_4
3H0,0G1,44,2016-03-18_0G1_DP_2
78I,18I,43,2016-03-18_18I_DP_2
2I3,52Z,12,2016-03-18_52Z_DP_3
1B0,47Z,252,2016-03-02_47Z_DP_5
1B0,47Z,25,2016-03-02_47Z_DP_5
61R,2E4,58,2016-03-21_2E4_DP_4
98K,7C4,16,2016-03-23_7C4_DP_4
5E6,13H,216,2016-03-24_13H_DP_4
2E4,61R,108,2016-03-29_61R_DP_4
1I7,13H,38,2016-03-03_13H_DP_4
61R,2E4,110,2016-03-30_2E4_DP_6
0F0,51A,220,2016-03-30_51A_DP_4
00V,9E8,41,2016-03-31_9E8_DP_6
T03,3D9,44,2016-03-04_3D9_DP_3
1B0,1K2,54,2016-03-07_1K2_DP_5
5E8,33T,62,2016-03-07_33T_DP_3
1I6,0J4,360,2016-03-09_0J4_DP_6
4C5,14E,33,2016-03-09_14E_DP_6
5E6,1G1,99,2016-03-09_1G1_DP_4
2I3,32Z,34,2016-03-09_32Z_DP_4
47Z,2G3,33,2016-04-11_2G3_DP_4
47Z,2G3,44,2016-04-11_2G3_DP_4
90T,4J4,118,2016-04-13_4J4_DP_5
13H,1I7,87,2016-04-18_1I7_DP_6
5E6,4C9,556,2016-04-18_4C9_DP_4
1I6,51Z,120,2016-04-18_51Z_DP_5
73V,1B0,238,2016-04-19_1B0_DP_6
98K,98J,202,2016-04-19_98J_DP_5
90T,4J4,233,2016-04-20_4J4_DP_1
12E,78I,523,2016-04-21_78I_DP_4
93T,9E8,199,2016-04-21_9E8_DP_4
1K2,1B0,23,2016-04-22_1B0_DP_3
1G4,85T,178,2016-04-25_85T_DP_5
1G4,85T,126,2016-04-25_85T_DP_5
5C6,0F0,499,2016-04-26_0F0_DP_6
1B0,3H0,27,2016-04-04_3H0_DP_4
32Z,2I3,50,2016-04-05_2I3_DP_6
0J4,47Z,62,2016-04-05_47Z_DP_4
0J4,47Z,220,2016-04-05_47Z_DP_4
8D8,4C5,39,2016-04-06_4C5_DP_6
8D8,4C5,48,2016-04-06_4C5_DP_6
15E,5C6,160,2016-04-06_5C6_DP_4
45Z,5E6,341,2016-04-06_5E6_DP_5
78I,18I,275,2016-04-07_18I_DP_6
1G0,32Z,300,2016-05-02_32Z_DP_5
1I6,5E6,28,2016-05-02_5E6_DP_5
9I9,5I3,254,2016-05-03_5I3_DP_4
9I9,5I3,65,2016-05-03_5I3_DP_4
98K,52Z,158,2016-05-04_52Z_DP_5
1I6,51Z,113,2016-05-06_51Z_DP_5
9E8,73V,313,2016-05-06_73V_DP_1
7G1,7A2,30,2016-05-09_7A2_DP_4
85T,1G4,30,2016-05-11_1G4_DP_4
00V,2G4,105,2016-05-20_2G4_DP_1
3D9,4E2,186,2016-05-23_4E2_DP_5
5E6,1K2,101,2016-05-25_1K2_DP_2
3I6,3I9,361,2016-05-26_3I9_DP_5
98K,T03,289,2016-06-01_T03_DP_4
0F0,1K1,28,2016-06-08_1K1_DP_4
5E6,45Z,452,2016-06-09_45Z_DP_6
3D9,7F5,592,2016-06-09_7F5_DP_4
00V,1G1,219,2016-06-13_1G1_DP_5
18I,13H,120,2016-06-15_13H_DP_5
15E,2E4,260,2016-06-27_2E4_DP_4
4J4,90T,32,2016-06-28_90T_DP_6
4J4,90T,106,2016-06-28_90T_DP_6
2C9,5I5,568,2016-07-05_5I5_DP_4
1I7,13H,185,2016-07-06_13H_DP_6
5J1,7A2,271,2016-07-06_7A2_DP_6
13H,1I7,51,2016-07-07_1I7_DP_4
2G2,81O,110,2016-07-07_81O_DP_4
5C6,9C1,25,2016-07-07_9C1_DP_5
61R,T03,54,2016-07-07_T03_DP_1
4E2,1K2,93,2016-07-11_1K2_DP_4
2E4,61R,56,2016-07-13_61R_DP_4
5C6,61R,302,2016-07-13_61R_DP_4
7A2,5J1,61,2016-07-14_5J1_DP_3
1B0,3H0,184,2016-07-19_3H0_DP_6
4J4,90T,204,2016-07-27_90T_DP_2
1G6,52Z,382,2016-08-03_52Z_DP_5
98K,T03,45,2016-08-08_T03_DP_4
1G4,85T,35,2016-08-09_85T_DP_3
1G4,85T,135,2016-08-09_85T_DP_3
98J,85T,68,2016-08-09_85T_DP_3
