id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed,focalcutoff_met
8C9,M,2006,10,59F,99L,59F,R,42,L,16,8039,2.8333333333333335,Y
7D7,M,2006,10,78T,02F,78T,F,43,L,14,7047,6.5,Y
2C9,M,2005,11,38E,80B,38E,R,44,L,12,2039,2.1666666666666665,Y
1H9,M,2008,8,2A7,79F,2A7,F,45,L,10,1089,5.333333333333333,Y
94Z,M,2004,12,95A,O15,95A,R,46,L,8,9426,5.333333333333333,Y
61D,M,1995,21,O53,D11,O53,F,47,L,6,6104,3.8333333333333335,Y
8J3,M,2009,7,56A,40C,56A,F,48,L,4,8093,4,Y
3J2,M,2009,7,60V,91P,60V,R,49,L,2,3102,2.8333333333333335,Y
2I2,M,2009,7,T03,51A,T03,V,50,L,0,2092,3,Y
17L,M,1999,17,B10,X58,B10,BB,NA,NA,NA,1712,0.16666666666666666,N
30C,M,1994,22,953,J19,953,S,NA,NA,NA,3003,0.5,N
3B9,M,2005,11,15O,50G,15O,R,NA,NA,NA,3029,0.16666666666666666,N
04Z,M,2004,12,O35,50B,O35,S,NA,NA,NA,426,1,N
9D7,M,2006,10,00J,36S,00J,F,NA,NA,NA,9047,1,N
1C2,M,2005,11,56A,20J,56A,F,NA,NA,NA,1032,0.5,N
5E1,M,2007,9,90D,36S,90D,F,NA,NA,NA,5051,0.6666666666666666,N
6E6,M,2007,9,42V,02R,42V,HH,NA,NA,NA,6056,0.16666666666666666,N
8A9,M,2004,12,13A,96B,13A,HH,NA,NA,NA,8019,0.5,N
7G1,M,2008,8,39F,25I,39F,R,NA,NA,NA,7071,0.3333333333333333,N
8B5,M,2005,11,32G,61B,32G,V,NA,NA,NA,8025,0.5,N
7G2,M,2008,8,0B4,91P,0B4,R,23,M,54,7072,6.333333333333333,Y
