date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2010-07-30,2010-07-30_04T_JB_3,1,04T,04T,NA,NA,2010-07-30T10:10:46Z
2010-07-30,2010-07-30_04T_JB_3,2,04T,04T,NA,NA,2010-07-30T10:15:55Z
2010-07-30,2010-07-30_04T_JB_3,3,04T,04T,NA,NA,2010-07-30T10:20:50Z
2010-07-30,2010-07-30_29B_JB_2,1,29B,29B,NA,NA,2010-07-30T08:48:15Z
2010-07-30,2010-07-30_29B_JB_2,2,29B,29B,NA,NA,2010-07-30T08:53:25Z
2010-07-30,2010-07-30_29B_JB_2,3,29B,29B,NA,NA,2010-07-30T08:58:12Z
2010-07-30,2010-07-30_34N_JB_2,1,34N,34N,NA,NA,2010-07-30T08:34:45Z
2010-07-30,2010-07-30_34N_JB_2,2,34N,34N,NA,NA,2010-07-30T08:37:50Z
2010-07-30,2010-07-30_34N_JB_2,3,34N,34N,NA,NA,2010-07-30T08:41:40Z
2010-07-30,2010-07-30_42L_JB_1,1,42L,42L,NA,NA,2010-07-30T08:20:12Z
2010-07-30,2010-07-30_42L_JB_1,2,42L,42L,NA,NA,2010-07-30T08:25:09Z
2010-07-30,2010-07-30_42L_JB_1,3,42L,42L,NA,NA,2010-07-30T08:30:18Z
2010-07-30,2010-07-30_43P_JB_3,1,43P,14L,NA,NA,2010-07-30T09:20:09Z
2010-07-30,2010-07-30_43P_JB_3,2,43P,43P,NA,NA,2010-07-30T09:27:08Z
2010-07-30,2010-07-30_43P_JB_3,3,43P,43P,NA,NA,2010-07-30T09:30:08Z
2010-07-30,2010-07-30_79C_JB_2,1,79C,79C,NA,NA,2010-07-30T09:02:55Z
2010-07-30,2010-07-30_79C_JB_2,2,79C,79C,NA,NA,2010-07-30T09:07:51Z
2010-07-30,2010-07-30_79C_JB_2,3,79C,79C,NA,NA,2010-07-30T09:12:55Z
2010-07-30,2010-07-30_82L_JB_1,1,82L,82L,NA,NA,2010-07-30T08:08:52Z
2010-07-30,2010-07-30_82L_JB_1,2,82L,unknown,NA,NA,2010-07-30T08:13:30Z
2010-07-30,2010-07-30_96B_JB_1,1,96B,96B,NA,NA,2010-07-30T07:15:03Z
2010-07-30,2010-07-30_96B_JB_1,2,96B,96B,NA,NA,2010-07-30T07:20:10Z
2010-07-30,2010-07-30_96B_JB_1,3,96B,96B,NA,NA,2010-07-30T07:25:01Z
2010-07-30,2010-07-30_98T_JB_3,1,98T,"R65, 64P",NA,NA,2010-07-30T10:00:03Z
2010-07-30,2010-07-30_98T_JB_3,2,98T,"64P, R65",NA,NA,2010-07-30T10:05:40Z
2010-07-30,2010-07-30_98T_JB_3,3,98T,98T,NA,NA,2010-07-30T10:09:56Z
2010-07-30,2010-07-30_O52_JB_1,1,O52,R65,NA,NA,2010-07-30T07:42:07Z
2010-08-01,2010-08-01_00J_JB_3,1,00J,00J,NA,NA,2010-08-01T10:04:53Z
2010-08-01,2010-08-01_00J_JB_3,2,00J,00J,NA,NA,2010-08-01T10:11:15Z
2010-08-01,2010-08-01_00J_JB_3,3,00J,00J,NA,NA,2010-08-01T10:14:29Z
2010-08-01,2010-08-01_00O_JB_6,1,00O,85B,NA,NA,2010-08-01T13:11:22Z
2010-08-01,2010-08-01_00O_JB_6,2,00O,85B,NA,NA,2010-08-01T13:16:20Z
2010-08-01,2010-08-01_00O_JB_6,3,00O,85B,NA,NA,2010-08-01T13:21:19Z
2010-08-01,2010-08-01_04T_JB_2,1,04T,04T,NA,NA,2010-08-01T08:29:25Z
2010-08-01,2010-08-01_04T_JB_2,2,04T,04T,NA,NA,2010-08-01T08:34:39Z
2010-08-01,2010-08-01_04T_JB_2,3,04T,04T,NA,NA,2010-08-01T08:39:42Z
2010-08-01,2010-08-01_29B_JB_4,1,29B,29B,NA,NA,2010-08-01T11:46:41Z
2010-08-01,2010-08-01_29B_JB_4,2,29B,29B,NA,NA,2010-08-01T11:52:21Z
2010-08-01,2010-08-01_29B_JB_4,3,29B,29B,NA,NA,2010-08-01T11:56:36Z
2010-08-01,2010-08-01_29H_JB_1,1,29H,"34N, 73B",NA,NA,2010-08-01T07:56:11Z
2010-08-01,2010-08-01_29H_JB_1,2,29H,29H,NA,NA,2010-08-01T08:02:12Z
2010-08-01,2010-08-01_29H_JB_1,3,29H,29H,NA,NA,2010-08-01T08:06:17Z
2010-08-01,2010-08-01_36S_JB_5,1,36S,43F,NA,NA,2010-08-01T12:49:38Z
2010-08-01,2010-08-01_36S_JB_5,2,36S,03J,NA,NA,2010-08-01T12:53:40Z
2010-08-01,2010-08-01_36S_JB_5,3,36S,36S,NA,NA,2010-08-01T12:58:34Z
2010-08-01,2010-08-01_36T_JB_5,1,36T,36T,NA,NA,2010-08-01T12:16:04Z
2010-08-01,2010-08-01_36T_JB_5,2,36T,36T,NA,NA,2010-08-01T12:21:01Z
2010-08-01,2010-08-01_36T_JB_5,3,36T,36T,NA,NA,2010-08-01T12:26:02Z
2010-08-01,2010-08-01_40L_JB_2,1,40L,40L,NA,NA,2010-08-01T09:13:21Z
2010-08-01,2010-08-01_40L_JB_2,2,40L,40L,NA,NA,2010-08-01T09:18:12Z
2010-08-01,2010-08-01_40L_JB_2,3,40L,40L,NA,NA,2010-08-01T09:23:12Z
2010-08-01,2010-08-01_43H_JB_4,1,43H,"X58, 25L",NA,NA,2010-08-01T11:15:38Z
2010-08-01,2010-08-01_43H_JB_4,2,43H,43H,NA,NA,2010-08-01T11:23:21Z
2010-08-01,2010-08-01_43H_JB_4,3,43H,43H,NA,NA,2010-08-01T11:25:31Z
2010-08-01,2010-08-01_43J_JB_1,1,43J,"43H, R65",NA,NA,2010-08-01T07:40:08Z
2010-08-01,2010-08-01_43J_JB_1,2,43J,68J,NA,NA,2010-08-01T07:49:41Z
2010-08-01,2010-08-01_43P_JB_4,1,43P,43P,NA,NA,2010-08-01T11:33:59Z
2010-08-01,2010-08-01_43P_JB_4,2,43P,43P,NA,NA,2010-08-01T11:38:40Z
2010-08-01,2010-08-01_43P_JB_4,3,43P,29B,NA,NA,2010-08-01T11:43:43Z
2010-08-01,2010-08-01_59A_JB_3,1,59A,"44J, 36S, 43F, 61J",NA,NA,2010-08-01T09:33:12Z
2010-08-01,2010-08-01_59A_JB_3,2,59A,59A,NA,NA,2010-08-01T09:36:43Z
2010-08-01,2010-08-01_61J_JB_1,1,61J,61J,NA,NA,2010-08-01T08:13:48Z
2010-08-01,2010-08-01_61J_JB_1,2,61J,61J,NA,NA,2010-08-01T08:18:50Z
2010-08-01,2010-08-01_61J_JB_1,3,61J,61J,NA,NA,2010-08-01T08:23:44Z
2010-08-01,2010-08-01_73B_JB_4,1,73B,"90D, 28N",NA,NA,2010-08-01T10:59:46Z
2010-08-01,2010-08-01_73B_JB_4,2,73B,"28N, 62H",NA,NA,2010-08-01T11:06:32Z
2010-08-01,2010-08-01_73B_JB_4,3,73B,55V,NA,NA,2010-08-01T11:10:03Z
2010-08-01,2010-08-01_78T_JB_3,1,78T,78T,NA,NA,2010-08-01T09:46:45Z
2010-08-01,2010-08-01_78T_JB_3,2,78T,14I,NA,NA,2010-08-01T09:51:44Z
2010-08-01,2010-08-01_80T_JB_5,1,80T,80T,NA,NA,2010-08-01T12:33:53Z
2010-08-01,2010-08-01_80T_JB_5,2,80T,80T,NA,NA,2010-08-01T12:39:17Z
2010-08-01,2010-08-01_80T_JB_5,3,80T,80T,NA,NA,2010-08-01T12:43:53Z
2010-08-01,2010-08-01_88I_JB_6,1,88I,O52,NA,NA,2010-08-01T13:59:23Z
2010-08-01,2010-08-01_88I_JB_6,2,88I,"O52, 43P",NA,NA,2010-08-01T14:04:51Z
2010-08-01,2010-08-01_88I_JB_6,3,88I,O52,NA,NA,2010-08-01T14:09:13Z
2010-08-01,2010-08-01_96B_JB_2,1,96B,96B,NA,NA,2010-08-01T08:50:38Z
2010-08-01,2010-08-01_96B_JB_2,2,96B,96B,NA,NA,2010-08-01T08:57:14Z
2010-08-01,2010-08-01_96B_JB_2,3,96B,96B,NA,NA,2010-08-01T09:00:38Z
2010-08-01,2010-08-01_98T_JB_6,1,98T,17C,NA,NA,2010-08-01T13:46:07Z
2010-08-01,2010-08-01_98T_JB_6,2,98T,17C,NA,NA,2010-08-01T13:50:49Z
2010-08-01,2010-08-01_98T_JB_6,3,98T,17C,NA,NA,2010-08-01T13:55:15Z
2010-08-01,2010-08-01_K00_JB_1,1,K00,K00,NA,NA,2010-08-01T07:23:48Z
2010-08-01,2010-08-01_K00_JB_1,2,K00,K00,NA,NA,2010-08-01T07:31:39Z
2010-08-01,2010-08-01_K00_JB_1,3,K00,K00,NA,NA,2010-08-01T07:33:47Z
2010-08-01,2010-08-01_X58_JB_5,1,X58,X58,NA,NA,2010-08-01T12:02:20Z
2010-08-01,2010-08-01_X58_JB_5,2,X58,X58,NA,NA,2010-08-01T12:09:29Z
2010-08-01,2010-08-01_X58_JB_5,3,X58,X58,NA,NA,2010-08-01T12:13:12Z
2010-08-02,2010-08-02_00O_JB_5,1,00O,00O,NA,NA,2010-08-02T12:24:15Z
2010-08-02,2010-08-02_00O_JB_5,2,00O,"30C, 33T",NA,NA,2010-08-02T12:30:39Z
2010-08-02,2010-08-02_00O_JB_5,3,00O,30C,NA,NA,2010-08-02T12:34:01Z
2010-08-02,2010-08-02_04N_BA_4,1,04N,78T,NA,NA,2010-08-02T11:34:22Z
2010-08-02,2010-08-02_04N_BA_4,2,04N,33T,NA,NA,2010-08-02T11:39:20Z
2010-08-02,2010-08-02_04N_BA_4,3,04N,04N,NA,NA,2010-08-02T11:44:19Z
2010-08-02,2010-08-02_10S_JB_4,1,10S,10S,NA,NA,2010-08-02T11:50:21Z
2010-08-02,2010-08-02_10S_JB_4,2,10S,10S,NA,NA,2010-08-02T11:55:41Z
2010-08-02,2010-08-02_10S_JB_4,3,10S,35N,NA,NA,2010-08-02T12:00:32Z
