animal_ID,revised_necropsy_id,age,sex,body_wt,brain_wt
I194M9,A18-433,0.5,m,1.12,81.9
1M8,A18-434,7.2,m,9.16,94.3
31S,A18-435,17,m,10.52,102.4
1T7,A18-436,4.4,f,5.16,88.5
8T4,A18-437,4.2,f,6.64,77.4
3E4,A18-438,12,m,11.72,84.8
5K0,A18-439,8.1,m,10.54,99
51V,A18-440,15.1,f,6.78,97.3
I1951V,A18-441,0.3,m,0.88,86.2
6S7,A18-442,4.3,m,5.2,89.9
3T1,A18-443,4.4,m,4.64,86.5
7F0,A18-444,11.2,f,7.32,93.6
I197F0,A18-445,0.2,m,0.82,74.2
37V,A18-450,15.1,f,6.42,83.3
4L7,A18-451,8.2,m,9,90.6
9L9,A18-452,8.1,f,7.48,79
I199L9,A18-453,0.3,m,0.74,79.7
3M3,A18-454,7.2,m,9.46,99.6
8O9,A18-455,6.3,f,6.4,88.6
8C9,A18-456,12.1,m,9.5,90.1
8L3,A18-458,8.2,f,9.06,96.6
I198L3,A18-459,0.5,f,1.24,78.7
6L1,A18-460,8.3,f,7.5,81
I196L1,A18-461,0.3,m,0.92,81.2
4R7,A18-462,5.2,m,6.44,94.5
56K,A18-463,19.9,m,8.92,89.8
2M4,A18-464,7.2,m,10.42,103.7
73Z,A18-465,14.1,m,9.36,96.8
9I8,A18-466,9.3,f,6.15,92.5
I199I8,A18-467,0.5,m,1.92,74
0Q5,A18-468,6,f,6.52,87.5
6M7,A18-469,7.3,f,7.14,87
8U4,A18-470,4.4,f,5.02,88.8
3T9,A18-471,4.4,f,3.62,79.8
5J3,A18-473,9.2,m,12.2,98.4
7T0,A18-474,4.3,f,5.52,89.4
98Z,A18-475,14.1,m,10.14,95
8I9,A18-476,9.2,f,6.94,91.3
I198I9,A18-477,0.3,m,0.78,80.5
42T,A18-478,16,m,9.62,103.2
93O,A18-479,18,f,7.1,88.7
2C4,A18-483,13.1,f,7.12,90.5
6D4,A18-484,12.2,f,6.02,86.6
76J,A18-485,19.9,f,7.36,88.8
6D6,A18-486,12.1,f,8.1,86.4
I196D6,A18-487,0.4,m,0.9,80.1
1P4,A18-488,6.3,f,6.14,84.3
I191P4,A18-489,0.5,f,1.06,71.2
46Z,A18-490,14,m,10.22,103.8
3K1,N19001,9,m,11.5,112.88
3Q6,N19002,6.1,m,10.42,100.94
3V9,N19003,4.2,m,7.08,92.96
8Q2,N19004,6.1,m,7.56,97.61
5V5,N19005,3.9,m,5.94,103
3V0,N19006,4.1,m,7.4,116
3V2,N19007,4,m,5.6,109.7
7M7,N19008,8.2,m,13.64,98.6
74K,N19009,20.8,f,7.4,81.1
2V4,N19010,4.2,m,6.56,100.8
0W2,N19011,4.1,f,4.4,98.9
4R2,N19012,6.2,m,9.74,105.5
8M5,N19013,8.1,m,10.44,99
82Z,N19014,14.9,f,7.88,98.35
I2082Z,N19015,0.2,m,0.86,81.93
0P7,N19016,7.1,m,12.48,95.5
2T6,N19017,5.2,m,9.88,92.1
3V8,N19018,4.1,m,6.12,103.8
0U9,N19019,5.1,m,7.44,106.7
6O9,N19020,7.1,f,7.16,95.8
I206O9,N19021,0.4,f,1.06,81.9
I207Q0,N19022,0.4,f,1.1,86.7
7Q0,N19023,6,f,6.32,96
I204I3,N19024,0.4,f,1.3,86.4
4I3,N19025,10.1,f,7.52,95.4
0W1,N19026,4,m,5.82,90.15
1U6,N19027,5.1,m,7.52,89.7
5V1,N19028,4.3,m,5.46,104.6
5R4,N19029,6.2,m,9.56,102.2
3I4,N19030,10,f,6.38,82.8
I207Q4,N19031,0.3,m,1.04,89.5
7Q4,N19032,6,f,8.56,93.95
2V1,N19033,4.3,m,7.16,95.9
3V1,N19034,4.2,f,5.86,95.8
6O6,N19035,7.1,m,13.18,117.3
9I3,N19036,10,f,6,78.7
3T5,N19037,5.1,f,5.78,86.2
I201V8,N19038,0.3,f,0.9,81.3
1V8,N19039,4.3,f,6.78,105.1
I200P2,N19040,0.4,f,1.02,78.5
0P2,N19041,7.1,f,7.16,100.7
2S3,N19042,6.1,f,6.32,104.4
2V0,N19043,4.2,m,5.82,101.7
2B4,N19044,14,f,7.46,89.7
4V8,N19045,4.2,f,5.74,85.9
2V7,N19046,4.3,f,5.42,96.2
4V4,N19047,4.2,f,5.86,96.9
4V7,N19048,4.2,m,5.64,86
6J2,N19049,10.1,m,10.16,104.8
9K4,N19050,9.1,m,14,99.6
1U1,N19051,5,m,8.6,93.4
I204H7,N19052,0.4,m,1.12,84.7
4H7,N19053,11.2,f,7.52,94.4
I2082V,N19054,0.1,f,1.05,73.7
82V,N19055,16,f,7.55,100.3
5P2,N19056,7.4,m,12.82,106.6
8Q1,N19057,6.2,m,8.68,99.8
I202T9,N19058,0.3,m,0.68,75.9
2T9,N19059,5.2,f,6.34,86.2
I202V8,N19060,0.3,f,0.66,79.1
2V8,N19061,4.3,f,5.88,85.2
I201U3,N19062,0.4,f,1.12,82.7
1U3,N19063,5.1,f,6.38,91.6
2V6,N19064,4.2,f,5.68,92
7M5,N19065,8.2,f,6.46,83.7
I208I6,N19066,0.3,m,1.02,97.9
8I6,N19067,9.9,f,6.74,106.6
I201K8,N19068,0.2,m,0.96,80.3
1K8,N19069,9.8,f,7.38,81.3
4R0,N19070,6.1,f,6.32,83.8
7Q2,N19071,6.2,f,6.44,88.7
6U4,N19072,4.9,m,7.64,101.9
I208M6,N19073,0.5,f,1.36,86.3
8M6,N19074,8.1,f,9.74,93.4
I209T5,N19075,0.4,m,1.08,89.4
9T5,N19076,5.2,f,7.62,97.1
7M4,N19077,8.1,m,11.52,103.1
8Q3,N19078,6.2,f,6.38,98.7
I2098V,N19079,0.5,f,1.22,81.6
98V,N19080,16,f,7.16,84.8
I205A1,N19081,0.2,f,0.92,73.9
5A1,N19082,15,f,7.7,91.8
7T1,N19083,5.2,f,6.02,89.2
9O5,N19084,7,m,10.36,94.7
I207F7,N19085,0.2,f,0.48,61.5
7F7,N19086,12.2,f,8.16,93.5
8M0,N19087,8.1,f,7.52,83.5
I208M0,N19088,0.4,m,0.98,80
I207A9,N19089,0.5,f,1,75.3
7A9,N19090,15,f,7.6,91.6
I205H6,N19091,0.5,f,1.32,90.6
5H6,N19092,11,f,7.3,103.9
I202U7,N19093,0.4,m,1.04,87.4
2U7,N19094,5.2,f,5.08,94.7
2L6,N19095,8.9,m,11.66,107.4
2C6,N19096,14,m,10.44,107.3
4L9,N19097,9.1,m,10.8,99.2
1S5,N19098,6.3,m,6.5,101.2
9I4,N19099,10.2,m,10.76,98.2
8R4,N19100,6.2,m,9.48,108.3
0J1,N19101,10.2,m,10.7,105.8
3I3,N19102,10.1,m,11.78,88.3
5R1,N19103,6.1,m,8.9,100.6
3I6,N19104,10.1,m,11.48,96.8
2K6,N19105,9.1,m,8.32,83.8
0O6,N19106,7.1,m,11,112
I204R1,N19107,0.3,m,1.04,82.1
4R1,N19108,6.2,f,6.32,103.2
I203D1,N19109,0.3,f,0.94,79.9
3D1,N19110,13.1,f,8.04,107.9
6M9,N19111,8.2,f,7.6,89.7
9T3,N19112,5,f,6.78,100.8
5V3,N19113,4.3,f,7.44,93.4
0R2,N19114,6.3,m,9.84,101.9
9O8,N19115,7.2,m,10.58,107.7
8R6,N19116,6.3,m,9.22,116.1
3V5,N19117,4.4,f,6,92.7
77V,N19118,16.1,f,6.06,79.8
1M1,N19119,8.2,m,11.32,108.7
2I1,N19120,10.3,m,12.38,99.8
1H9,N19121,11.1,m,11.08,97.1
I2097R,N19122,0.4,m,0.82,79.6
97R,N19123,17.9,f,6.46,93.3
I204V2,N19124,0.4,f,0.94,76.2
4V2,N19125,4.4,f,5.94,91.7
I203D4,N19126,0.4,m,1.1,82.4
3D4,N19127,13.1,f,6.92,83.5
8W9,N19128,4.3,f,5.04,87
I206D9,N19129,0.5,m,1.36,79.5
6D9,N19130,13.1,f,8.24,87.1
8Q7,N19131,6.2,f,6.16,87.3
2S2,N19132,6.3,f,6.56,85.5
3O9,N19133,7.2,m,8.62,87.8
1Q9,N19134,6.3,m,8.36,96.7
0I9,N19135,10.2,m,8.66,109.2
4V5,N19136,4.2,f,4.78,89.1
0Z8,N19137,3.4,f,4.42,89.2
