animal_ID,birth_season,age,birth_date,sex,with_infant,trapping_date,euthanasia_date,days_between,necropsy_id,ketamine_time,initial_ketamine_amount,total_ketamine_amount,euthanasia_time,perfusion_time_start,perfusion_time_end,saline_L,head_off_time,brain_extraction_time,brain_frozen_time,blood_in_brain,weight_kg,brain_weight_grams,left_eye_fixed,right_eye_fixed,MBR_ID,MMB_ID,MPTB_ID,animal_metadata_comments
1O9,2013,6.1,10/05/2012,F,N,11/26/2018,11/28/2018,2,A18-400,14:30,0.8,1.2,15:19,15:24,15:31,7,NT,15:46,16:12,,5.08,87.8,16:11,16:12,MBR0206,MMB0206,,
3Q3,2014,5.3,08/19/2013,F,Y,11/26/2018,11/28/2018,2,A18-396,10:30,0.8,1.2,11:23,11:26,11:34,5,NT,11:52,12:24,,5.32,98.1,12:19,12:16,MBR0229,MMB0229,,
3R9,2014,5.2,09/13/2013,F,N,11/26/2018,11/28/2018,2,A18-401,15:10,1.1,1.5,16:05,16:13,NT,NT,NT,16:38,17:22,,5.68,87.7,17:24,17:20,MBR0232,MMB0232,,
4Q4,2014,5.2,09/07/2013,F,N,11/26/2018,11/28/2018,2,A18-394,8:40,0.9,1.6,9:53,9:56,10:03,5,NT,10:22,10:54,,5.10,90.5,10:30,11:03,MBR0233,MMB0233,,
4T2,2015,4.4,07/02/2014,M,N,11/26/2018,11/28/2018,2,A18-395,9:00,0.8,1.5,10:37,10:43,10:49,7,NT,11:11,11:35,,5.40,93.6,11:32,11:34,MBR0278,MMB0278,,
6U6,2015,4.2,08/29/2014,F,N,11/26/2018,11/28/2018,2,A18-399,13:40,0.8,1.3,14:42,14:45,14:51,5,NT,15:10,15:36,,4.66,89.1,15:28,15:32,MBR0257,MMB0257,,
8S9,2015,4.3,08/18/2014,M,N,11/26/2018,11/28/2018,2,A18-398,13:05,1,1.4,13:58,14:03,14:10,6,NT,14:28,14:53,,7.08,101.5,14:53,14:53,MBR0291,MMB0291,,
I193Q3,2019,0.5,06/16/2018,F,N,11/26/2018,11/28/2018,2,A18-397,13:06,0.1,0.2,NT,NT,NT,NT,NT,NT,NT,,0.96,80.0,NT,NT,MBR0344,MMB0344,,
1J8,2010,9.1,10/28/2009,M,N,11/26/2018,11/29/2018,3,A18-402,8:40,1.5,2,9:34,9:44,9:51,5,NT,10:10,10:36,,10.58,99.8,10:34,10:29,MBR0272,MMB0272,,
2K0,2011,8.1,11/01/2010,M,N,11/27/2018,11/29/2018,2,A18-406,11:20,1.2,1.6,12:48,12:52,12:59,7,NT,13:17,13:37,,9.28,99.5,15:39,15:37,MBR0274,MMB0274,,
3O3,2013,6.2,09/18/2012,M,N,11/27/2018,11/29/2018,2,A18-407,13:30,1.5,2.3,14:42,14:46,14:53,7,NT,15:14,15:37,,8.94,101.4,15:33,15:31,MBR0213,MMB0213,,
5I5,2010,9.2,09/20/2009,M,N,11/27/2018,11/29/2018,2,A18-409,14:50,2,2.4,16:05,16:16,16:25,7,NT,16:40,17:25,,10.16,90.9,17:21,17:25,MBR0279,MMB0279,,
6L4,2011,8.2,09/17/2010,M,N,11/27/2018,11/29/2018,2,A18-408,14:12,1.5,2.3,15:27,15:36,15:37,7,NT,15:55,16:35,,9.44,101.2,16:32,16:30,MBR0190,MMB0190,,
7I8,2010,9.2,09/03/2009,F,Y,11/27/2018,11/29/2018,2,A18-404,10:15,1,1.7,11:22,11:27,11:37,6,NT,11:57,12:20,,7.68,96.3,12:16,12:14,MBR0179,MMB0179,,
8B3,2006,13.1,10/26/2005,M,N,11/26/2018,11/29/2018,3,A18-403,9:25,2,2.35,10:24,10:29,10:41,11,NT,11:00,11:25,,10.66,98.1,11:29,11:26,MBR0288,MMB0288,,
I197I8,2019,0.4,07/01/2018,F,N,11/27/2018,11/29/2018,2,A18-405,10:15,0.15,0.35,12:10,12:14,12:23,2,NT,12:27,13:14,,1.24,83.9,NT,NT,MBR0357,MMB0257,,"MBR_ID changed from MBR0257 to MBR0357; MMB still in Puerto Rico, MMB_ID needs to be changed from MMB0257 to MMB0357"
1T5,2015,4.4,07/23/2014,M,N,11/27/2018,11/30/2018,3,A18-412,8:40,0.8,1.1,8:56,9:03,9:11,5,NT,9:27,9:56,,5.04,85.9,9:53,9:54,MBR0273,MMB0273,,
3F7,2008,11.2,10/01/2007,F,Y,11/26/2018,11/30/2018,4,A18-418,11:35,1,1.8,14:50,14:56,15:05,7,NT,15:22,16:06,,7.50,91.0,16:09,16:04,MBR0168,MMB0168,,
49V,2004,15.0,11/15/2003,F,N,11/27/2018,11/30/2018,3,A18-417,11:00,1.3,2.4,13:50,13:56,14:06,8,NT,14:21,14:40,,7.74,81.8,14:20,14:18,MBR0144,MMB0144,,check brain_frozen_time and brain_extraction_time; seems like the times were switched upon entering into DB from notes; switched on 2019-02-28 by MJM
60R,2002,17.0,12/03/2001,F,Y,11/26/2018,11/30/2018,4,A18-413,9:00,1,1.4,9:41,9:47,9:54,6,NT,10:13,10:37,,5.90,82.6,10:45,10:42,MBR0137,MMB0137,,beware incorrect necropsy ID from mislabeling in Google Drive (correct = A18413; incorrect = A18403)
7Q3,2014,5.3,08/21/2013,F,Y,11/27/2018,11/30/2018,3,A18-415,9:48,0.8,1.1,11:08,11:12,11:23,7,NT,11:36,11:55,,4.62,71.5,11:54,11:55,MBR0238,MMB0238,,
I193F7,2019,0.3,08/17/2018,M,N,11/26/2018,11/30/2018,4,A18-419,11:35,0.1,0.5,15:33,15:45,15:51,NA,NT,16:12,16:43,,1.04,87.7,NT,NT,MBR0343,MMB0343,,Technical difficuties with perfusion - No liters recorded
I1960R,2019,0.3,07/29/2018,F,N,11/26/2018,11/30/2018,4,A18-414,9:00,0.1,0.2,10:31,NA,NA,NA,NT,11:01,11:30,,0.66,60.0,NT,NT,MBR0352,MMB0352,,
I197Q3,2019,0.4,07/20/2018,F,N,11/27/2018,11/30/2018,3,A18-416,9:48,0.15,0.25,11:45,11:52,11:57,2,NT,12:20,12:42,,0.74,64.0,12:25,12:42,MBR0358,MMB0258,,"MBR_ID changed from MBR0258 to MBR0358; MMB still in Puerto Rico, MMB_ID needs to be changed from MMB0258 to MMB0358"
3F5,2008,11.0,12/08/2007,F,Y,11/28/2018,12/03/2018,5,A18-422,12:10,1,1.4,15:13,15:21,15:32,7,NT,16:06,16:10,,7.62,97.6,16:55,16:52,MBR0167,MMB0167,,brain_extraction_time and brain_frozen_time do not make sense
5Q7,2014,5.3,08/13/2013,F,N,11/27/2018,12/03/2018,6,A18-420,10:30,0.8,1.2,11:41,11:50,12:03,5,NT,12:28,12:47,,5.68,91.8,12:56,12:54,MBR0237,MMB0237,,
7O3,2013,6.2,10/09/2012,M,N,11/28/2018,12/03/2018,5,A18-421,11:20,1.1,1.6,13:01,13:10,13:19,7,NT,13:51,14:18,,8.36,107.8,14:25,14:22,MBR0219,MMB0219,,
I193F5,2019,0.4,07/25/2018,M,N,11/28/2018,12/03/2018,5,A18-423,12:40,0.15,0.3,16:39,16:50,17:02,2,NT,17:25,18:02,,1.08,81.8,NT,NT,MBR0306,MMB0306,,
2F2,2008,11.0,11/19/2007,F,Y,12/03/2018,12/04/2018,1,A18-426,11:15,1.1,1.5,12:39,12:46,12:57,7.5,NT,13:11,13:31,,7.44,101.9,13:33,13:31,MBR0166,MMB0166,,
4D8,2007,12.2,09/29/2006,F,N,12/03/2018,12/04/2018,1,A18-428,12:55,1,1.7,14:24,14:30,14:40,10,NT,14:53,15:13,,7.56,87.0,15:13,15:10,MBR0161,MMB0161,,
4F1,2008,11.1,10/16/2007,F,Y,12/03/2018,12/04/2018,1,A18-429,NT,NT,NT,15:14,15:17,15:30,8,NT,15:44,16:04,,6.16,88.0,16:04,16:02,MBR0169,MMB0169,,
I192F2,2019,0.5,05/30/2018,F,N,12/03/2018,12/04/2018,1,A18-427,11:16,0.15,0.25,13:30,13:39,13:59,0.5,NT,14:10,14:43,,1.05,83.9,NT,NT,MBR0341,MMB0341,,
I194F1,2019,0.3,08/04/2018,F,N,12/03/2018,12/04/2018,1,A18-430,13:55,0.15,0.45,16:12,16:16,16:27,2,NT,16:36,17:05,,0.78,68.0,NT,NT,MBR0346,MMB0346,,
1M8,2012,7.2,10/04/2011,M,N,12/03/2018,12/05/2018,2,A18-434,10:45,1.5,3,13:30,13:37,14:00,8,NT,14:12,14:34,,9.16,94.3,14:30,14:28,MBR0195,MMB0195,,
1T7,2015,4.4,07/22/2014,F,N,12/03/2018,12/05/2018,2,A18-436,NT,NT,NT,15:54,15:58,16:22,7,NT,16:42,17:10,,5.16,88.5,NT,NT,MBR0242,MMB0242,,
2T5,2015,4.3,08/14/2014,F,N,12/03/2018,12/05/2018,2,A18-431,8:19,0.8,1.2,9:26,9:32,9:42,7,NT,10:00,10:20,,5.18,93.3,10:16,10:18,MBR0245,MMB0245,,
31S,2002,17.0,12/05/2001,M,N,12/03/2018,12/05/2018,2,A18-435,12:35,1.5,3,14:53,15:03,15:15,8,NT,15:35,16:20,,10.52,102.4,16:17,16:15,MBR0276,MMB0276,,
4M9,2012,7.2,09/21/2011,F,Y,12/03/2018,12/05/2018,2,A18-432,9:05,1,1.75,10:23,10:26,10:36,8,NT,10:50,11:10,,6.62,86.0,11:07,11:05,MBR0199,MMB0199,,
I194M9,2019,0.5,05/29/2018,M,N,12/03/2018,12/05/2018,2,A18-433,9:20,0.2,0.4,11:06,11:17,11:30,8,NT,11:44,12:12,,1.12,81.9,NT,NT,MBR0347,MMB0347,,
3E4,2007,12.0,12/10/2006,M,N,12/03/2018,12/06/2018,3,A18-438,8:30,1.5,2.2,9:17,9:21,9:32,11,NT,10:03,10:21,,11.72,84.8,10:21,10:19,MBR0368,MMB0267,,"MBR_ID changed from MBR0267 to MBR0368; MMB still in Puerto Rico, MMB_ID needs to be changed from MMB0267 to MMB0368"
3T1,2015,4.4,07/06/2014,M,N,12/04/2018,12/06/2018,2,A18-443,12:40,1,1.4,14:17,14:22,14:32,6,NT,14:45,15:04,,4.64,86.5,15:06,15:04,MBR0268,MMB0268,,
51V,2004,15.1,10/29/2003,F,Y,12/04/2018,12/06/2018,2,A18-440,9:30,1.1,1.8,11:10,11:16,11:25,9,NT,11:39,11:59,,6.78,97.3,11:58,11:55,MBR0145,MMB0145,,
5K0,2011,8.1,10/26/2010,M,N,12/03/2018,12/06/2018,3,A18-439,9:25,1.5,2.8,10:13,10:17,10:31,12,NT,10:49,11:05,,10.54,99.0,11:05,11:02,MBR0186,MMB0186,,
6S7,2015,4.3,08/29/2014,M,N,12/04/2018,12/06/2018,2,A18-442,11:46,1,1.4,13:39,13:44,13:53,6,NT,14:06,14:24,,5.20,89.9,14:21,14:19,MBR0285,MMB0285,,
7F0,2008,11.2,09/24/2007,F,Y,12/04/2018,12/06/2018,2,A18-444,13:00,1,1.9,14:56,15:01,15:12,7,NT,15:25,16:02,,7.32,93.6,16:05,15:57,MBR0170,MMB0170,,
8T4,2015,4.2,10/09/2014,F,N,12/03/2018,12/06/2018,3,A18-437,7:50,1.1,1.6,8:35,8:39,8:50,7.5,NT,9:04,9:40,,6.64,77.4,9:46,9:44,MBR0262,MMB0262,,
I1951V,2019,0.3,08/07/2018,M,N,12/04/2018,12/06/2018,2,A18-441,9:41,0.1,0.1,11:55,12:04,12:12,3,NT,12:25,12:53,,0.88,86.2,NT,NT,MBR0312,MMB0312,,
I197F0,2019,0.2,09/09/2018,M,N,12/04/2018,12/06/2018,2,A18-445,13:20,0.1,0.2,15:34,16:47,16:58,3,NT,16:10,16:40,,0.82,74.2,NT,NT,MBR0323,MMB0323,,
37V,2004,15.1,11/15/2003,F,N,12/10/2018,12/11/2018,1,A18-450,10:20,1,1.4,11:36,11:41,11:57,12,NT,12:20,12:45,,6.42,83.3,12:55,12:50,MBR0142,MMB0142,,
3M3,2012,7.2,09/26/2011,M,N,12/10/2018,12/11/2018,1,A18-454,14:10,1.1,2,16:00,16:09,NA,9,NT,16:35,17:07,,9.46,99.6,16:51,16:48,MBR0197,MMB0197,,
4L7,2011,8.2,10/15/2010,M,N,12/10/2018,12/11/2018,1,A18-451,11:30,1.2,1.7,12:34,12:38,12:51,NT,NT,13:01,NT,,9.00,90.6,13:28,13:25,MBR0271,MMB0271,,
8C9,2007,12.1,10/29/2006,M,N,12/10/2018,12/11/2018,1,A18-456,15:44,1.2,2.1,17:21,17:27,17:36,12,NT,17:53,18:15,,9.50,90.1,18:12,18:10,MBR0165,MMB0165,,
8O9,2013,6.3,08/14/2012,F,N,12/10/2018,12/11/2018,1,A18-455,14:55,0.8,1.5,16:45,16:49,16:59,7,NT,17:15,17:42,,6.40,88.6,17:35,17:33,MBR0220,MMB0220,,
9L9,2011,8.1,10/27/2010,F,Y,12/10/2018,12/11/2018,1,A18-452,12:30,1.1,1.8,13:21,13:25,13:33,7,NT,13:50,14:15,,7.48,79.0,14:07,14:05,MBR0192,MMB0192,,
I199L9,2019,0.3,09/09/2018,M,N,12/10/2018,12/11/2018,1,A18-453,12:40,0.1,0.2,14:10,14:16,14:33,7,NT,14:46,15:06,,0.74,79.7,NT,NT,MBR0365,MMB0365,,
2M4,2012,7.2,10/04/2011,M,N,12/11/2018,12/12/2018,1,A18-464,13:00,1.2,1.7,14:35,14:40,14:50,11,NT,15:22,15:45,,10.72,103.7,15:23,15:20,MBR0196,MMB0196,,
4R7,2014,5.2,09/14/2013,M,N,12/11/2018,12/12/2018,1,A18-462,10:25,1,1.5,12:02,12:07,12:18,8,NT,12:33,12:55,,6.44,94.5,12:51,12:50,MBR0236,MMB0236,,
56K,1999,19.9,01/08/1999,M,N,12/11/2018,12/12/2018,1,A18-463,11:40,1.1,2,13:50,13:56,14:08,11,NT,14:24,14:47,,8.92,89.8,14:40,14:35,MBR0130,MMB0130,,
6L1,2011,8.3,09/09/2010,F,Y,12/10/2018,12/12/2018,2,A18-460,NT,NT,NT,10:30,10:33,10:47,7,NT,11:02,11:25,,7.50,81.0,11:22,11:20,MBR0188,MMB0188,,
73Z,2005,14.1,10/30/2004,M,N,12/11/2018,12/12/2018,1,A18-465,13:35,1.2,1.7,15:08,15:12,15:48,11,NT,16:04,16:30,,9.36,96.8,16:20,16:17,MBR0148,MMB0148,,
8L3,2011,8.2,09/27/2010,F,Y,12/10/2018,12/12/2018,2,A18-458,8:15,1.2,1.7,9:03,9:11,9:20,7,NT,9:35,10:05,,9.06,96.6,9:53,9:50,MBR0191,MMB0191,,
I196L1,2019,0.3,08/16/2018,M,N,12/10/2018,12/12/2018,2,A18-461,NT,NT,NT,11:12,11:16,11:25,2,NT,11:50,12:20,,0.92,81.2,NT,NT,MBR0354,MMB0354,,
I198L3,2019,0.5,06/19/2018,F,N,12/10/2018,12/12/2018,2,A18-459,8:18,0.15,0.3,9:51,9:55,NA,NA,NT,10:20,10:35,,1.24,78.7,NT,NT,MBR0362,MMB0362,,
0Q5,2013,6.0,12/29/2012,F,N,12/11/2018,12/13/2018,2,A18-468,9:29,1,1.5,10:58,11:04,11:27,11,NT,11:40,12:06,,6.52,87.5,12:05,12:00,MBR0204,MMB0204,,
3T9,2015,4.4,07/18/2014,F,N,12/11/2018,12/13/2018,2,A18-471,11:40,0.8,1.6,14:49,14:55,15:23,10,NT,15:35,16:00,,3.62,79.8,15:55,15:50,MBR0248,MMB0248,,
6M7,2012,7.3,08/21/2011,F,N,12/11/2018,12/13/2018,2,A18-469,10:10,1,1.9,12:00,12:05,12:30,13,NT,12:46,13:05,,7.14,87.0,13:02,13:00,MBR0202,MMB0202,,
8U4,2015,4.4,07/15/2014,F,N,12/11/2018,12/13/2018,2,A18-470,11:02,1,2,13:55,14:03,14:17,9,NT,14:29,14:50,,5.02,88.8,14:47,14:45,MBR0263,MMB0263,,
9I8,2010,9.3,09/01/2009,F,Y,12/11/2018,12/13/2018,2,A18-466,8:15,0.8,1.3,9:08,9:16,9:30,12,NT,9:41,10:04,,6.15,92.5,9:57,9:55,MBR0182,MMB0182,,
I199I8,2019,0.5,06/25/2018,M,N,12/11/2018,12/13/2018,1,A18-467,8:15,0.2,0.5,10:03,10:10,10:30,2,NT,10:43,11:00,,1.92,74.0,NT,NT,MBR0364,MMB0364,,
42T,2003,16.0,12/28/2002,M,N,12/12/2018,12/14/2018,2,A18-478,10:50,1.2,3,13:21,13:27,13:39,12,NT,13:53,14:30,,9.62,103.2,NT,NT,MBR0270,MMB0270,,
5J3,2010,9.2,10/16/2009,M,N,12/11/2018,12/14/2018,3,A18-473,8:00,1.3,1.8,8:49,8:53,9:05,12,NT,9:22,9:46,,12.20,98.4,9:42,9:40,MBR0178,MMB0178,,
7T0,2015,4.3,08/12/2014,F,N,12/11/2018,12/14/2018,3,A18-474,9:30,1,1.5,9:34,9:38,9:46,8,NT,10:03,10:25,,5.52,89.4,10:29,10:25,MBR0258,MMB0258,,
8I9,2010,9.2,09/21/2009,F,Y,12/12/2018,12/14/2018,2,A18-476,9:55,1,1.4,10:59,11:05,11:18,11,NT,11:30,12:03,,6.94,91.3,NT,NT,MBR0181,MMB0181,,
93O,2001,18.0,12/02/2000,F,N,12/12/2018,12/14/2018,2,A18-479,10:40,1.1,2.7,13:58,14:04,14:14,8,NT,14:30,15:10,,7.10,88.7,NT,NT,MBR0135,MMB0135,,
98Z,2005,14.1,11/21/2004,M,N,12/12/2018,12/14/2018,2,A18-475,9:30,1.2,1.7,10:15,10:20,10:33,12,NT,10:53,11:30,,10.14,95.0,NT,NT,MBR0152,MMB0152,,
I198I9,2019,0.3,09/05/2018,M,N,12/12/2018,12/14/2018,2,A18-477,10:20,0.1,0.2,11:36,11:43,11:49,2,NT,12:05,12:25,,0.78,80.5,NT,NT,MBR0361,MMB0261,,
1P4,2013,6.3,08/13/2012,F,Y,12/17/2018,12/18/2018,1,A18-488,13:45,1,1.9,15:28,15:33,15:41,7.5,NT,15:54,NT,,6.14,84.3,NT,NT,MBR0209,MMB0209,,
2C4,2006,13.1,11/06/2005,F,N,12/17/2018,12/18/2018,1,A18-483,10:30,1,1.45,11:20,11:25,11:39,10,NT,11:52,12:21,,7.12,90.5,NT,NT,MBR0156,MMB0156,,
46Z,2005,14.0,12/28/2004,M,N,12/17/2018,12/18/2018,1,A18-490,13:00,1.3,1.8,14:11,14:17,14:28,15,NT,14:43,15:05,,10.22,103.8,NT,NT,MBR0146,MMB0146,,
