groom_giver,groom_reciever,constrained_duration,observation_name
44J,juvenile,332,2011-08-30_44J_JB_2
00O,90D,146,2011-08-31_00O_JB_6
00O,90D,297,2011-08-31_00O_JB_6
42L,juvenile,212,2011-08-31_42L_JB_4
63V,juvenile,86,2011-08-31_63V_JB_6
85B,O52,84,2011-08-31_85B_JB_4
88I,29B,250,2011-08-31_88I_JB_3
2A7,juvenile,211,2011-09-01_2A7_JB_6
30C,juvenile,142,2011-09-01_30C_JB_3
43J,juvenile,20,2011-09-01_43J_JB_6
43J,juvenile,37,2011-09-01_43J_JB_6
63V,juvenile,35,2011-09-01_63V_JB_2
79C,juvenile,122,2011-09-01_79C_JB_3
N12,V36,50,2011-09-01_N12_JB_5
43F,juvenile,79,2011-09-02_43F_JB_3
43F,juvenile,243,2011-09-02_43F_JB_3
52P,juvenile,375,2011-09-02_52P_JB_3
52P,juvenile,161,2011-09-02_52P_JB_3
2A8,juvenile,212,2011-09-06_2A8_JB_6
34N,juvenile,172,2011-09-06_34N_JB_3
42L,juvenile,56,2011-09-06_42L_JB_4
42L,juvenile,500,2011-09-06_42L_JB_4
O52,juvenile,32,2011-09-06_O52_JB_1
20F,juvenile,21,2011-10-11_20F_BA_5
20F,juvenile,28,2011-10-11_20F_BA_5
29V,juvenile,215,2011-10-11_29V_BA_4
31I,juvenile,403,2011-10-11_31I_BA_3
61J,juvenile,38,2011-10-13_61J_BA_6
04I,1A3,149,2011-10-17_04I_BA_4
20F,juvenile,102,2011-10-17_20F_JB_6
20F,juvenile,75,2011-10-17_20F_JB_6
29B,juvenile,103,2011-10-17_29B_JB_4
29B,juvenile,124,2011-10-17_29B_JB_4
50I,juvenile,47,2011-10-17_50I_BA_5
56A,juvenile,85,2011-10-17_56A_JB_3
59A,juvenile,203,2011-10-17_59A_JB_3
73B,juvenile,466,2011-10-17_73B_JB_3
73B,juvenile,44,2011-10-17_73B_JB_3
42L,juvenile,87,2011-10-18_42L_JB_5
42L,juvenile,135,2011-10-18_42L_JB_5
43J,43P,536,2011-10-18_43J_JB_6
56A,juvenile,155,2011-10-18_56A_JB_4
90D,00O,55,2011-10-18_90D_JB_3
90D,juvenile,534,2011-10-18_90D_JB_3
04N,juvenile,107,2011-10-19_04N_BA_6
0A4,juvenile,1,2011-10-19_0A4_BA_6
2A5,56A,172,2011-10-19_2A5_BA_3
64P,juvenile,388,2011-10-19_64P_BA_6
2A5,juvenile,32,2011-10-20_2A5_BA_3
2A5,juvenile,40,2011-10-20_2A5_BA_3
2A5,10S,22,2011-10-20_2A5_BA_3
2A5,juvenile,30,2011-10-20_2A5_BA_3
2A5,juvenile,145,2011-10-20_2A5_BA_3
2A7,82L,74,2011-10-20_2A7_JB_6
60P,52P,25,2011-10-20_60P_BA_5
62V,juvenile,104,2011-10-20_62V_JB_4
92D,36S,599,2011-10-20_92D_BA_6
93Z,juvenile,107,2011-10-20_93Z_JB_4
36Z,juvenile,36,2011-10-21_36Z_BA_3
2A7,juvenile,252,2011-10-24_2A7_JB_2
2A7,juvenile,20,2011-10-24_2A7_JB_2
2A7,juvenile,52,2011-10-24_2A7_JB_2
31S,juvenile,94,2011-10-24_31S_BA_4
32S,44J,155,2011-10-24_32S_JB_3
43F,juvenile,338,2011-10-24_43F_JB_3
44J,73B,32,2011-10-24_44J_JB_6
44J,98T,275,2011-10-24_44J_JB_6
79Z,juvenile,7,2011-10-24_79Z_JB_4
00J,juvenile,230,2011-10-25_00J_BA_3
1B1,juvenile,143,2011-10-25_1B1_BA_3
1B1,juvenile,90,2011-10-25_1B1_BA_3
42T,80T,86,2011-10-25_42T_BA_5
42T,80T,179,2011-10-25_42T_BA_5
42T,juvenile,119,2011-10-25_42T_BA_5
43P,juvenile,66,2011-10-25_43P_JB_3
61J,50I,476,2011-10-25_61J_BA_4
62V,juvenile,179,2011-10-25_62V_JB_3
68V,juvenile,171,2011-10-25_68V_JB_3
6A8,juvenile,57,2011-10-25_6A8_BA_3
6A8,juvenile,426,2011-10-25_6A8_BA_3
0A9,93Z,564,2011-10-26_0A9_JB_6
2A7,juvenile,54,2011-10-26_2A7_JB_3
60E,juvenile,22,2011-10-26_60E_BA_3
78T,juvenile,59,2011-10-26_78T_JB_6
28N,juvenile,214,2011-10-27_28N_BA_3
29B,juvenile,162,2011-10-27_29B_JB_3
29B,juvenile,48,2011-10-27_29B_JB_3
2A2,juvenile,162,2011-10-27_2A2_BA_4
2A2,juvenile,42,2011-10-27_2A2_BA_4
36Z,juvenile,30,2011-10-27_36Z_BA_6
36Z,juvenile,64,2011-10-27_36Z_BA_6
36Z,juvenile,233,2011-10-27_36Z_BA_6
40L,43F,138,2011-10-27_40L_BA_4
73B,juvenile,349,2011-10-27_73B_JB_4
78T,85B,112,2011-10-27_78T_JB_4
78T,85B,407,2011-10-27_78T_JB_4
98T,juvenile,105,2011-10-27_98T_JB_5
9A4,28N,221,2011-10-27_9A4_BA_4
O52,juvenile,528,2011-10-27_O52_JB_3
04I,juvenile,160,2011-10-28_04I_BA_3
20F,60P,206,2011-10-03_20F_BA_4
59A,juvenile,543,2011-10-03_59A_BA_3
73B,juvenile,79,2011-10-03_73B_BA_3
73B,juvenile,167,2011-10-03_73B_BA_3
20F,44J,32,2011-10-31_20F_JB_3
20F,44J,172,2011-10-31_20F_JB_3
28J,24B,189,2011-10-31_28J_BA_6
44J,2A8,368,2011-10-31_44J_JB_3
52P,juvenile,421,2011-10-31_52P_JB_6
52P,juvenile,73,2011-10-31_52P_JB_6
62V,74S,337,2011-10-31_62V_JB_3
82L,10S,598,2011-10-31_82L_BA_4
64D,juvenile,4,2011-10-05_64D_BA_4
9A4,04N,103,2011-10-05_9A4_BA_6
64D,juvenile,223,2011-10-06_64D_BA_5
79Z,juvenile,134,2011-10-06_79Z_BA_4
25R,42L,222,2011-10-07_25R_BA_4
25R,42L,121,2011-10-07_25R_BA_4
36S,85B,196,2011-10-07_36S_BA_4
42L,juvenile,53,2011-10-07_42L_BA_3
42L,juvenile,55,2011-10-07_42L_BA_3
92D,juvenile,158,2011-10-07_92D_BA_4
04T,42T,27,2011-10-08_04T_BA_6
2A5,56A,172,2011-10-08_2A5_BA_6
2A5,56A,193,2011-10-08_2A5_BA_6
62V,juvenile,64,2011-10-08_62V_BA_3
62V,juvenile,41,2011-10-08_62V_BA_3
79Z,juvenile,121,2011-10-08_79Z_BA_5
79Z,juvenile,21,2011-10-08_79Z_BA_5
79Z,juvenile,122,2011-10-08_79Z_BA_5
9A4,juvenile,293,2011-10-08_9A4_BA_3
9A4,68J,171,2011-10-08_9A4_BA_3
57H,juvenile,92,2011-11-02_57H_JB_1
0A9,juvenile,91,2011-11-07_0A9_JB_4
0B8,juvenile,93,2011-11-07_0B8_JB_6
10S,juvenile,64,2011-11-07_10S_JB_4
10S,juvenile,326,2011-11-07_10S_JB_4
29B,juvenile,25,2011-11-07_29B_JB_4
29B,82A,68,2011-11-07_29B_JB_4
29B,82A,124,2011-11-07_29B_JB_4
57H,juvenile,218,2011-11-07_57H_JB_6
59A,juvenile,91,2011-11-07_59A_JB_3
68V,N12,25,2011-11-07_68V_JB_4
N12,43J,147,2011-11-07_N12_JB_3
10S,14L,162,2011-11-08_10S_JB_6
78T,juvenile,277,2011-11-08_78T_JB_3
78T,85B,159,2011-11-08_78T_JB_3
88I,57H,117,2011-11-08_88I_JB_2
40L,juvenile,57,2011-11-01_40L_BA_5
40L,43F,33,2011-11-01_40L_BA_5
74S,04T,276,2011-11-01_74S_BA_6
96Z,6A8,521,2011-11-01_96Z_BA_5
40L,juvenile,598,2011-11-10_40L_BA_3
78T,juvenile,95,2011-11-10_78T_JB_5
78T,juvenile,28,2011-11-10_78T_JB_5
78T,juvenile,168,2011-11-10_78T_JB_5
78T,43P,121,2011-11-10_78T_JB_5
57H,juvenile,80,2011-11-11_57H_JB_4
68V,juvenile,15,2011-11-11_68V_JB_5
0A9,juvenile,187,2011-11-14_0A9_JB_3
