date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2017-07-06,2017-07-06_6O7_JN_1,2,6O7,"6O7, 1C5",feedchow,feedchow,2017-07-06T07:59:41Z
2017-07-06,2017-07-06_7O3_JN_4,1,7O3,7O3,feedwater,NA,2017-07-06T12:56:55Z
2017-07-06,2017-07-06_7O3_JN_4,2,7O3,7O3,travel,NA,2017-07-06T13:01:53Z
2017-07-06,2017-07-06_7Q3_JN_1,1,7Q3,"7Q3, 37V",rest,rest,2017-07-06T09:15:48Z
2017-07-06,2017-07-06_7Q3_JN_1,2,7Q3,7Q3,feedwater,NA,2017-07-06T09:20:49Z
2017-07-06,2017-07-06_8O9_JN_4,1,8O9,8O9,feedplant,NA,2017-07-06T12:35:57Z
2017-07-06,2017-07-06_8O9_JN_4,2,8O9,8O9,feedplant,NA,2017-07-06T12:40:58Z
2017-07-06,2017-07-06_9N6_JN_4,1,9N6,"9N6, 8L3",rest,rest,2017-07-06T12:43:32Z
2017-07-06,2017-07-06_9N6_JN_4,2,9N6,"9N6, 0J5",rest,rest,2017-07-06T12:48:37Z
2017-07-06,2017-07-06_9Q5_JN_1,1,9Q5,9Q5,feedplant,NA,2017-07-06T08:10:04Z
2017-07-06,2017-07-06_9Q5_JN_1,2,9Q5,9Q5,feedplant,NA,2017-07-06T08:15:04Z
2017-07-17,2017-07-17_0J5_JN_4,1,0J5,0J5,rest,NA,2017-07-17T13:56:03Z
2017-07-17,2017-07-17_0J5_JN_4,2,0J5,0J5,social,NA,2017-07-17T14:01:03Z
2017-07-17,2017-07-17_16R_JN_1,1,16R,16R,travel,NA,2017-07-17T08:51:04Z
2017-07-17,2017-07-17_16R_JN_1,2,16R,16R,rest,NA,2017-07-17T08:56:04Z
2017-07-17,2017-07-17_1C5_JN_4,1,1C5,1C5,rest,NA,2017-07-17T13:10:19Z
2017-07-17,2017-07-17_1C5_JN_4,2,1C5,1C5,rest,NA,2017-07-17T13:15:20Z
2017-07-17,2017-07-17_1C7_JN_1,1,1C7,1C7,feedchow,NA,2017-07-17T09:21:26Z
2017-07-17,2017-07-17_1C7_JN_1,2,1C7,1C7,feedchow,NA,2017-07-17T09:26:26Z
2017-07-17,2017-07-17_1E2_JN_4,1,1E2,1E2,rest,NA,2017-07-17T12:22:54Z
2017-07-17,2017-07-17_1E2_JN_4,2,1E2,1E2,rest,NA,2017-07-17T12:27:54Z
2017-07-17,2017-07-17_1L1_JN_4,1,1L1,1L1,rest,NA,2017-07-17T11:35:39Z
2017-07-17,2017-07-17_1L1_JN_4,2,1L1,1L1,rest,NA,2017-07-17T11:40:39Z
2017-07-17,2017-07-17_1P5_JN_4,1,1P5,1P5,rest,NA,2017-07-17T14:03:04Z
2017-07-17,2017-07-17_1P5_JN_4,2,1P5,1P5,social,NA,2017-07-17T14:08:04Z
2017-07-17,2017-07-17_27J_JN_1,1,27J,"27J, 49V",social,rest,2017-07-17T10:09:51Z
2017-07-17,2017-07-17_27J_JN_1,2,27J,27J,rest,NA,2017-07-17T10:14:47Z
2017-07-17,2017-07-17_27N_JN_1,1,27N,27N,rest,NA,2017-07-17T09:07:22Z
2017-07-17,2017-07-17_27N_JN_1,2,27N,"27N, 49V",rest,rest,2017-07-17T09:12:26Z
2017-07-17,2017-07-17_2C3_JN_1,1,2C3,"2C3, 4D8",rest,rest,2017-07-17T09:45:20Z
2017-07-17,2017-07-17_2C3_JN_1,2,2C3,"2C3, 8I9",rest,feedplant,2017-07-17T09:50:25Z
2017-07-17,2017-07-17_2C4_JN_4,1,2C4,2C4,rest,NA,2017-07-17T11:42:57Z
2017-07-17,2017-07-17_2C4_JN_4,2,2C4,"2C4, 6L3, 24V",rest,"rest, rest",2017-07-17T11:47:58Z
2017-07-17,2017-07-17_2J7_JN_4,1,2J7,2J7,social,NA,2017-07-17T12:49:19Z
2017-07-17,2017-07-17_2J7_JN_4,2,2J7,"2J7, 3F7, 9I8",social,"rest, rest",2017-07-17T12:54:17Z
2017-07-17,2017-07-17_37V_JN_4,1,37V,37V,rest,NA,2017-07-17T12:00:20Z
2017-07-17,2017-07-17_37V_JN_4,2,37V,37V,rest,NA,2017-07-17T12:05:22Z
2017-07-17,2017-07-17_3F5_JN_1,1,3F5,3F5,rest,NA,2017-07-17T08:17:52Z
2017-07-17,2017-07-17_3F5_JN_1,2,3F5,3F5,rest,NA,2017-07-17T08:22:56Z
2017-07-17,2017-07-17_3F7_JN_4,1,3F7,"3F7, 2C4, 6L3",rest,"rest, rest",2017-07-17T12:36:14Z
2017-07-17,2017-07-17_3F7_JN_4,2,3F7,"3F7, 2C4, 6L3",rest,"rest, rest",2017-07-17T12:41:34Z
2017-07-17,2017-07-17_3G3_JN_4,1,3G3,"3G3, 6K6, 2C4",rest,"rest, rest",2017-07-17T12:17:05Z
2017-07-17,2017-07-17_3G3_JN_4,2,3G3,"3G3, 6K6, 2C4",rest,"rest, rest",2017-07-17T12:22:05Z
2017-07-17,2017-07-17_3Q9_JN_4,1,3Q9,3Q9,social,NA,2017-07-17T13:17:21Z
2017-07-17,2017-07-17_3Q9_JN_4,2,3Q9,3Q9,social,NA,2017-07-17T13:22:16Z
2017-07-17,2017-07-17_46Z_JN_1,1,46Z,46Z,rest,NA,2017-07-17T09:13:30Z
2017-07-17,2017-07-17_46Z_JN_1,2,46Z,46Z,feedchow,NA,2017-07-17T09:18:31Z
2017-07-17,2017-07-17_49V_JN_4,1,49V,"49V, 9L9",social,rest,2017-07-17T11:51:21Z
2017-07-17,2017-07-17_49V_JN_4,2,49V,"49V, 9L9",social,rest,2017-07-17T11:56:20Z
2017-07-17,2017-07-17_4D8_JN_1,1,4D8,4D8,rest,NA,2017-07-17T09:39:28Z
2017-07-17,2017-07-17_4D8_JN_1,2,4D8,4D8,feedplant,NA,2017-07-17T09:44:32Z
2017-07-17,2017-07-17_4F1_JN_1,1,4F1,4F1,feedchow,NA,2017-07-17T08:05:02Z
2017-07-17,2017-07-17_4F1_JN_1,2,4F1,"4F1, 2J7",feedchow,feedchow,2017-07-17T08:10:01Z
2017-07-17,2017-07-17_51V_JN_4,1,51V,51V,rest,NA,2017-07-17T12:28:51Z
2017-07-17,2017-07-17_51V_JN_4,2,51V,51V,rest,NA,2017-07-17T12:33:55Z
2017-07-17,2017-07-17_56K_JN_1,1,56K,56K,feedplant,NA,2017-07-17T09:33:47Z
2017-07-17,2017-07-17_56K_JN_1,2,56K,56K,feedplant,NA,2017-07-17T09:38:47Z
2017-07-17,2017-07-17_60R_JN_4,1,60R,60R,rest,NA,2017-07-17T13:30:50Z
2017-07-17,2017-07-17_60R_JN_4,2,60R,60R,rest,NA,2017-07-17T13:35:56Z
2017-07-17,2017-07-17_62R_JN_4,1,62R,62R,social,NA,2017-07-17T13:43:59Z
2017-07-17,2017-07-17_62R_JN_4,2,62R,62R,social,NA,2017-07-17T13:48:56Z
2017-07-17,2017-07-17_64S_JN_4,1,64S,64S,rest,NA,2017-07-17T11:21:42Z
2017-07-17,2017-07-17_64S_JN_4,2,64S,64S,rest,NA,2017-07-17T11:26:42Z
2017-07-17,2017-07-17_6D4_JN_1,1,6D4,6D4,rest,NA,2017-07-17T08:11:33Z
2017-07-17,2017-07-17_6D4_JN_1,2,6D4,6D4,feedplant,NA,2017-07-17T08:16:39Z
2017-07-17,2017-07-17_6D6_JN_1,1,6D6,6D6,rest,NA,2017-07-17T08:35:40Z
2017-07-17,2017-07-17_6D6_JN_1,2,6D6,6D6,rest,NA,2017-07-17T08:40:46Z
2017-07-17,2017-07-17_6D9_JN_4,1,6D9,6D9,social,NA,2017-07-17T12:06:08Z
2017-07-17,2017-07-17_6D9_JN_4,2,6D9,6D9,social,NA,2017-07-17T12:11:10Z
2017-07-17,2017-07-17_6L1_JN_4,1,6L1,"6L1, 3F5",rest,rest,2017-07-17T13:49:59Z
2017-07-17,2017-07-17_6L1_JN_4,2,6L1,"6L1, 6K6",rest,rest,2017-07-17T13:55:01Z
2017-07-17,2017-07-17_7I8_JN_4,1,7I8,"7I8, 1C5",feedwater,rest,2017-07-17T13:02:06Z
2017-07-17,2017-07-17_7I8_JN_4,2,7I8,"7I8, 1C7",social,rest,2017-07-17T13:07:15Z
2017-07-17,2017-07-17_7J7_JN_4,1,7J7,7J7,rest,NA,2017-07-17T12:42:58Z
2017-07-17,2017-07-17_7J7_JN_4,2,7J7,"7J7, 2C3",rest,rest,2017-07-17T12:48:08Z
2017-07-17,2017-07-17_83Z_JN_4,1,83Z,"83Z, 4F1, 6L1, 3F7",rest,"rest, rest, rest",2017-07-17T12:55:17Z
2017-07-17,2017-07-17_83Z_JN_4,2,83Z,"83Z, 4F1, 6L1, 3F7",rest,"rest, rest, rest",2017-07-17T13:00:18Z
2017-07-17,2017-07-17_86Z_JN_4,1,86Z,"86Z, 16R",rest,rest,2017-07-17T13:38:01Z
2017-07-17,2017-07-17_86Z_JN_4,2,86Z,"86Z, 16R",rest,rest,2017-07-17T13:43:02Z
2017-07-17,2017-07-17_8C9_JN_4,1,8C9,8C9,rest,NA,2017-07-17T11:29:42Z
2017-07-17,2017-07-17_8C9_JN_4,2,8C9,8C9,rest,NA,2017-07-17T11:34:43Z
2017-07-17,2017-07-17_8L3_JN_4,1,8L3,8L3,rest,NA,2017-07-17T13:24:50Z
2017-07-17,2017-07-17_8L3_JN_4,2,8L3,"8L3, 25P, 27N",social,"social, social",2017-07-17T13:30:00Z
2017-07-17,2017-07-17_93O_JN_1,1,93O,93O,rest,NA,2017-07-17T09:54:53Z
2017-07-17,2017-07-17_93O_JN_1,2,93O,93O,travel,NA,2017-07-17T09:59:53Z
2017-07-17,2017-07-17_98Z_JN_1,1,98Z,98Z,travel,NA,2017-07-17T10:19:30Z
2017-07-17,2017-07-17_98Z_JN_1,2,98Z,98Z,travel,NA,2017-07-17T10:24:30Z
2017-07-17,2017-07-17_99L_JN_1,1,99L,99L,rest,NA,2017-07-17T08:42:59Z
2017-07-17,2017-07-17_99L_JN_1,2,99L,99L,rest,NA,2017-07-17T08:47:59Z
2017-07-17,2017-07-17_9H9_JN_1,1,9H9,9H9,travel,NA,2017-07-17T08:29:29Z
2017-07-17,2017-07-17_9H9_JN_1,2,9H9,9H9,travel,NA,2017-07-17T08:34:36Z
