animal_id,culling year,euthanasia_date,age,sex,group
41N,2016,2016-10-31,16.7,M,HH
2Q0,2016,2016-11-01,3.2,F,HH
3A6,2016,2016-11-01,12,M,HH
5R9,2016,2016-11-01,3.2,M,HH
9I5,2016,2016-11-01,7,F,HH
62S,2016,2016-11-02,13.8,F,HH
I1762S,2016,2016-11-02,0.3,M,HH
43N,2016,2016-11-10,17,M,HH
56R,2016,2016-11-15,14.9,F,HH
I1756R,2016,2016-11-15,0.2,F,HH
1B7,2016,2016-11-16,11,M,HH
48V,2016,2016-11-16,13,F,HH
4J6,2016,2016-11-16,7.1,F,HH
I1748V,2016,2016-11-16,0.3,F,HH
I174J6,2016,2016-11-16,0.3,M,HH
2R4,2016,2016-11-17,3.2,M,HH
8.00E+02,2016,2016-11-17,9.1,F,HH
0G3,2016,2016-12-01,9.1,F,HH
2S6,2016,2016-12-01,3.2,M,HH
77S,2016,2016-12-01,13.9,F,HH
9P5,2016,2016-12-01,4.3,F,HH
I1777S,2016,2016-12-01,0.2,M,HH
V80,2016,2016-12-01,25.9,F,HH
8K7,2016,2016-12-02,6.2,F,HH
2C7,2016,2016-12-08,11.2,F,HH
49Z,2016,2016-12-08,12,M,HH
4J3,2016,2016-12-08,7.3,F,HH
4N8,2016,2016-12-08,5.3,M,HH
4S3,2016,2016-12-08,3.2,F,HH
5P6,2016,2016-12-08,4.2,F,HH
I174J3,2016,2016-12-08,0.4,M,HH
1Q8,2016,2016-12-12,4.3,M,HH
4S0,2016,2016-12-12,3.1,F,HH
6B4,2016,2016-12-12,11.2,F,HH
7.00E+03,2016,2016-12-12,9.2,F,HH
I176B4,2016,2016-12-12,0.2,M,HH
I177E3,2016,2016-12-12,0.4,F,HH
2S8,2016,2016-12-13,3.3,F,HH
3R1,2016,2016-12-13,3.3,M,HH
5H7,2016,2016-12-13,8.2,M,HH
7.00E+00,2016,2016-12-13,9.2,F,HH
9C6,2016,2016-12-13,10.2,M,HH
I177E0,2016,2016-12-13,0.3,F,HH
0B9,2016,2016-12-14,12.1,F,HH
3R7,2016,2016-12-14,3.3,M,HH
5B6,2016,2016-12-14,11.2,F,HH
5I9,2016,2016-12-14,7.1,F,HH
5J6,2016,2016-12-14,7.1,F,HH
I175B6,2016,2016-12-14,0.4,F,HH
36O,2016,2016-12-15,16,F,HH
3A9,2016,2016-12-15,12.1,F,HH
6H6,2016,2016-12-15,8,F,HH
6R9,2016,2016-12-15,3.2,M,HH
7L7,2016,2016-12-15,6.1,F,HH
I177L7,2016,2016-12-15,0.4,M,HH
16S,2016,2016-12-19,15.1,F,HH
3P7,2016,2016-12-19,4.3,F,HH
80S,2016,2016-12-19,14.1,F,HH
I172C0,2016,2016-12-19,0.2,F,HH
I172E9,2016,2016-12-19,0.1,M,HH
2C0,2016,2016-12-20,11,F,HH
2.00E+09,2016,2016-12-20,10.2,F,HH
7S5,2018,2018-10-17,4.1,M,KK
8T5,2018,2018-10-17,4.3,M,KK
1S8,2018,2018-10-30,5.2,M,KK
8S7,2018,2018-10-30,4.2,M,KK
1C5,2018,2018-11-01,13,F,KK
1T9,2018,2018-11-01,4.1,F,KK
3Q9,2018,2018-11-01,5.2,M,KK
4S8,2018,2018-11-01,4,M,KK
4T4,2018,2018-11-01,4.2,F,KK
5S3,2018,2018-11-01,4.2,M,KK
4R3,2018,2018-11-02,5.2,M,KK
5L3,2018,2018-11-02,8.1,M,KK
6S2,2018,2018-11-02,4.3,M,KK
1R1,2018,2018-11-06,5.3,F,KK
2R9,2018,2018-11-06,5.1,F,KK
4P6,2018,2018-11-06,6.1,F,KK
I191R1,2018,2018-11-06,0.3,M,KK
I194P6,2018,2018-11-06,0.3,M,KK
0T8,2018,2018-11-07,4.2,F,KK
2T2,2018,2018-11-07,4.1,M,KK
3O7,2018,2018-11-07,6.1,M,KK
5S1,2018,2018-11-07,4.2,M,KK
6O7,2018,2018-11-07,6,F,KK
7J7,2018,2018-11-07,9.1,F,KK
0L5,2018,2018-11-08,8.1,M,KK
1C7,2018,2018-11-08,13,F,KK
1P5,2018,2018-11-08,6.2,M,KK
5M5,2018,2018-11-08,7.2,F,KK
6K6,2018,2018-11-08,8.2,F,KK
6L3,2018,2018-11-08,8.1,M,KK
9Q5,2018,2018-11-08,5.2,F,KK
2O7,2018,2018-11-09,6.4,F,KK
4R4,2018,2018-11-09,5.2,F,KK
8H2,2018,2018-11-09,10.1,M,KK
I194R4,2018,2018-11-09,0.3,M,KK
1.00E+02,2018,2018-11-27,12.1,F,KK
1L1,2018,2018-11-27,8.2,F,KK
44V,2018,2018-11-27,14.8,F,KK
I191E2,2018,2018-11-27,0.3,M,KK
I191L1,2018,2018-11-27,0.4,F,KK
1O9,2018,2018-11-28,6.1,F,KK
3Q3,2018,2018-11-28,5.3,F,KK
3R9,2018,2018-11-28,5.2,F,KK
4Q4,2018,2018-11-28,5.2,F,KK
4T2,2018,2018-11-28,4.4,M,KK
6U6,2018,2018-11-28,4.2,F,KK
8S9,2018,2018-11-28,4.3,M,KK
I193Q3,2018,2018-11-28,0.5,F,KK
1J8,2018,2018-11-29,9.1,M,KK
2K0,2018,2018-11-29,8.1,M,KK
3O3,2018,2018-11-29,6.2,M,KK
5I5,2018,2018-11-29,9.2,M,KK
6L4,2018,2018-11-29,8.2,M,KK
7I8,2018,2018-11-29,9.2,F,KK
8B3,2018,2018-11-29,13.1,M,KK
I197I8,2018,2018-11-29,0.4,F,KK
1T5,2018,2018-11-30,4.4,M,KK
3F7,2018,2018-11-30,11.2,F,KK
49V,2018,2018-11-30,15,F,KK
60R,2018,2018-11-30,17,F,KK
7Q3,2018,2018-11-30,5.3,F,KK
I193F7,2018,2018-11-30,0.3,M,KK
I1960R,2018,2018-11-30,0.3,F,KK
I197Q3,2018,2018-11-30,0.4,F,KK
3F5,2018,2018-12-03,11,F,KK
5Q7,2018,2018-12-03,5.3,F,KK
7O3,2018,2018-12-03,6.2,M,KK
I193F5,2018,2018-12-03,0.4,M,KK
2F2,2018,2018-12-04,11,F,KK
4D8,2018,2018-12-04,12.2,F,KK
4F1,2018,2018-12-04,11.1,F,KK
I192F2,2018,2018-12-04,0.5,F,KK
I194F1,2018,2018-12-04,0.3,F,KK
1M8,2018,2018-12-05,7.2,M,KK
1T7,2018,2018-12-05,4.4,F,KK
2T5,2018,2018-12-05,4.3,F,KK
31S,2018,2018-12-05,17,M,KK
4M9,2018,2018-12-05,7.2,F,KK
I194M9,2018,2018-12-05,0.5,M,KK
3.00E+04,2018,2018-12-06,12,M,KK
3T1,2018,2018-12-06,4.4,M,KK
51V,2018,2018-12-06,15.1,F,KK
5K0,2018,2018-12-06,8.1,M,KK
6S7,2018,2018-12-06,4.3,M,KK
7F0,2018,2018-12-06,11.2,F,KK
8T4,2018,2018-12-06,4.2,F,KK
I1951V,2018,2018-12-06,0.3,M,KK
I197F0,2018,2018-12-06,0.2,M,KK
37V,2018,2018-12-11,15.1,F,KK
3M3,2018,2018-12-11,7.2,M,KK
4L7,2018,2018-12-11,8.2,M,KK
8C9,2018,2018-12-11,12.1,M,KK
8O9,2018,2018-12-11,6.3,F,KK
9L9,2018,2018-12-11,8.1,F,KK
I199L9,2018,2018-12-11,0.3,M,KK
2M4,2018,2018-12-12,7.2,M,KK
4R7,2018,2018-12-12,5.2,M,KK
56K,2018,2018-12-12,19.9,M,KK
6L1,2018,2018-12-12,8.3,F,KK
73Z,2018,2018-12-12,14.1,M,KK
8L3,2018,2018-12-12,8.2,F,KK
I196L1,2018,2018-12-12,0.3,M,KK
I198L3,2018,2018-12-12,0.5,F,KK
0Q5,2018,2018-12-13,6,F,KK
3T9,2018,2018-12-13,4.4,F,KK
6M7,2018,2018-12-13,7.3,F,KK
8U4,2018,2018-12-13,4.4,F,KK
9I8,2018,2018-12-13,9.3,F,KK
I199I8,2018,2018-12-13,0.5,M,KK
42T,2018,2018-12-14,16,M,KK
5J3,2018,2018-12-14,9.2,M,KK
7T0,2018,2018-12-14,4.3,F,KK
8I9,2018,2018-12-14,9.2,F,KK
93O,2018,2018-12-14,18,F,KK
98Z,2018,2018-12-14,14.1,M,KK
I198I9,2018,2018-12-14,0.3,M,KK
1P4,2018,2018-12-18,6.3,F,KK
2C4,2018,2018-12-18,13.1,F,KK
46Z,2018,2018-12-18,14,M,KK
6D4,2018,2018-12-18,12.2,F,KK
6D6,2018,2018-12-18,12.1,F,KK
76J,2018,2018-12-18,19.9,F,KK
I191P4,2018,2018-12-18,0.5,F,KK
I196D6,2018,2018-12-18,0.4,M,KK
3K1,2019,2019-10-17,9,M,S
3Q6,2019,2019-10-17,6.1,M,S
3V9,2019,2019-10-17,4.2,M,S
8Q2,2019,2019-10-17,6.1,M,S
3V0,2019,2019-10-18,4.1,M,S
3V2,2019,2019-10-18,4,M,S
5V5,2019,2019-10-18,3.9,M,S
74K,2019,2019-10-18,20.8,F,S
7M7,2019,2019-10-18,8.2,M,S
0W2,2019,2019-10-21,4.1,F,S
2V4,2019,2019-10-21,4.2,M,S
4R2,2019,2019-10-21,6.2,M,S
8M5,2019,2019-10-21,8.1,M,S
0P7,2019,2019-10-23,7.1,M,S
0U9,2019,2019-10-23,5.1,M,S
2T6,2019,2019-10-23,5.2,M,S
3V8,2019,2019-10-23,4.1,M,S
82Z,2019,2019-10-23,14.9,F,S
I2082Z,2019,2019-10-23,0.2,M,S
4I3,2019,2019-10-24,10.1,F,S
6O9,2019,2019-10-24,7.1,F,S
7Q0,2019,2019-10-24,6,F,S
I204I3,2019,2019-10-24,0.4,F,S
I206O9,2019,2019-10-24,0.4,F,S
I207Q0,2019,2019-10-24,0.4,F,S
0W1,2019,2019-10-25,4,M,S
1U6,2019,2019-10-25,5.1,M,S
2V1,2019,2019-10-25,4.3,M,S
3I4,2019,2019-10-25,10,F,S
3T5,2019,2019-10-25,5.1,F,S
3V1,2019,2019-10-25,4.2,F,S
5R4,2019,2019-10-25,6.2,M,S
5V1,2019,2019-10-25,4.3,M,S
6O6,2019,2019-10-25,7.1,M,S
7Q4,2019,2019-10-25,6,F,S
9I3,2019,2019-10-25,10,F,S
I207Q4,2019,2019-10-25,0.3,M,S
0P2,2019,2019-10-30,7.1,F,S
1V8,2019,2019-10-30,4.3,F,S
2S3,2019,2019-10-30,6.1,F,S
2V0,2019,2019-10-30,4.2,M,S
I200P2,2019,2019-10-30,0.4,F,S
I201V8,2019,2019-10-30,0.3,F,S
1U1,2019,2019-10-31,5,M,S
2B4,2019,2019-10-31,14,F,S
2V7,2019,2019-10-31,4.3,F,S
4V4,2019,2019-10-31,4.2,F,S
4V7,2019,2019-10-31,4.2,M,S
4V8,2019,2019-10-31,4.2,F,S
6J2,2019,2019-10-31,10.1,M,F
9K4,2019,2019-10-31,9.1,M,F
4H7,2019,2019-11-01,11.2,F,S
5P2,2019,2019-11-01,7.4,M,S
82V,2019,2019-11-01,16,F,S
8Q1,2019,2019-11-01,6.2,M,S
I204H7,2019,2019-11-01,0.4,M,S
I2082V,2019,2019-11-01,0.1,F,S
1U3,2019,2019-11-04,5.1,F,S
2T9,2019,2019-11-04,5.2,F,S
2V6,2019,2019-11-04,4.2,F,S
2V8,2019,2019-11-04,4.3,F,S
I201U3,2019,2019-11-04,0.4,F,S
I202T9,2019,2019-11-04,0.3,M,S
I202V8,2019,2019-11-04,0.3,F,S
7M5,2019,2019-11-05,8.2,F,S
1K8,2019,2019-11-08,9.8,F,S
4R0,2019,2019-11-08,6.1,F,S
6U4,2019,2019-11-08,4.9,M,S
7Q2,2019,2019-11-08,6.2,F,S
8I6,2019,2019-11-08,9.9,F,S
I201K8,2019,2019-11-08,0.2,M,S
I208I6,2019,2019-11-08,0.3,M,S
7M4,2019,2019-11-12,8.1,M,S
8M6,2019,2019-11-12,8.1,F,S
8Q3,2019,2019-11-12,6.2,F,S
98V,2019,2019-11-12,16,F,S
9T5,2019,2019-11-12,5.2,F,S
I208M6,2019,2019-11-12,0.5,F,S
I2098V,2019,2019-11-12,0.5,F,S
I209T5,2019,2019-11-12,0.4,M,S
5A1,2019,2019-11-13,15,F,S
7F7,2019,2019-11-13,12.2,F,S
7T1,2019,2019-11-13,5.2,F,S
9O5,2019,2019-11-13,7,M,S
I205A1,2019,2019-11-13,0.2,F,S
I207F7,2019,2019-11-13,0.2,F,S
2U7,2019,2019-11-14,5.2,F,S
5H6,2019,2019-11-14,11,F,S
7A9,2019,2019-11-14,15,F,S
8M0,2019,2019-11-14,8.1,F,S
I202U7,2019,2019-11-14,0.4,M,S
I205H6,2019,2019-11-14,0.5,F,S
I207A9,2019,2019-11-14,0.5,F,S
I208M0,2019,2019-11-14,0.4,M,S
1S5,2019,2019-11-15,6.3,M,KK
2C6,2019,2019-11-15,14,M,S
2L6,2019,2019-11-15,8.9,M,S
4L9,2019,2019-11-15,9.1,M,R
0J1,2019,2019-11-20,10.2,M,KK
3I3,2019,2019-11-20,10.1,M,R
3I6,2019,2019-11-20,10.1,M,S
5R1,2019,2019-11-20,6.1,M,R
8R4,2019,2019-11-20,6.2,M,V
9I4,2019,2019-11-20,10.2,M,S
0O6,2019,2019-11-21,7.1,M,F
2K6,2019,2019-11-21,9.1,M,V
3D1,2019,2019-12-03,13.1,F,S
4R1,2019,2019-12-03,6.2,F,S
5V3,2019,2019-12-03,4.3,F,S
6M9,2019,2019-12-03,8.2,F,S
9T3,2019,2019-12-03,5,F,S
I203D1,2019,2019-12-03,0.3,F,S
I204R1,2019,2019-12-03,0.3,M,S
0R2,2019,2019-12-04,6.3,M,KK
9O8,2019,2019-12-04,7.2,M,KK
3V5,2019,2019-12-05,4.4,F,S
8R6,2019,2019-12-05,6.3,M,V
1H9,2019,2019-12-10,11.1,M,F
1M1,2019,2019-12-10,8.2,M,R
2T1,2019,2019-12-10,10.3,M,S
77V,2019,2019-12-10,16.1,F,S
3D4,2019,2019-12-11,13.1,F,S
4V2,2019,2019-12-11,4.4,F,S
8W9,2019,2019-12-11,4.3,F,S
97R,2019,2019-12-11,17.9,F,S
I203D4,2019,2019-12-11,0.4,F,S
I204V2,2019,2019-12-11,0.4,F,S
I2097R,2019,2019-12-11,0.4,M,S
0I9,2019,2019-12-12,10.2,M,V
1Q9,2019,2019-12-12,6.3,M,R
2S2,2019,2019-12-12,6.3,F,S
3O9,2019,2019-12-12,7.2,M,R
6D9,2019,2019-12-12,13.1,F,KK
8Q7,2019,2019-12-12,6.2,F,S
I206D9,2019,2019-12-12,0.5,M,KK
0Z8,2019,2019-12-17,3.4,F,S
4V5,2019,2019-12-17,4.2,F,S
