groom_giver,groom_reciever,constrained_duration,observation_name
88V,70T,35,2011-07-13_70T_SML_3
juvenile,30F,164,2011-07-14_30F_SML_6
juvenile,T83,91,2011-07-14_T83_SML_4
5A0,26P,181,2011-07-15_26P_SML_1
juvenile,48L,415,2011-07-15_48L_SML_2
juvenile,48L,158,2011-07-15_48L_SML_2
74K,53N,467,2011-07-15_53N_SML_6
juvenile,5A0,41,2011-07-15_5A0_SML_5
juvenile,5A0,215,2011-07-15_5A0_SML_5
juvenile,88N,305,2011-07-15_88N_SML_3
juvenile,88N,125,2011-07-15_88N_SML_3
juvenile,26P,193,2011-07-19_26P_SML_2
juvenile,26P,250,2011-07-19_26P_SML_2
juvenile,36D,189,2011-07-19_36D_SML_7
5A1,38Z,62,2011-07-19_38Z_SML_3
98V,74K,277,2011-07-19_74K_SML_7
juvenile,81I,67,2011-07-19_81I_SML_6
88N,82Z,19,2011-07-19_82Z_SML_4
70T,88V,427,2011-07-19_88V_SML_4
infant,97R,153,2011-07-19_97R_SML_7
infant,97R,130,2011-07-19_97R_SML_7
70T,38Z,471,2011-07-20_38Z_SML_6
juvenile,5A1,247,2011-07-20_5A1_SML_2
26P,81I,140,2011-07-20_81I_SML_4
juvenile,82V,472,2011-07-20_82V_SML_2
88N,26P,249,2011-07-21_26P_SML_2
juvenile,74K,356,2011-07-21_74K_SML_2
juvenile,97R,124,2011-07-21_97R_SML_6
7A9,74K,172,2011-07-22_74K_SML_5
juvenile,4A9,71,2011-07-23_4A9_SML_3
juvenile,4A9,321,2011-07-23_4A9_SML_3
53N,74K,10,2011-07-23_74K_SML_1
82Z,88N,123,2011-07-23_88N_SML_5
juvenile,88N,50,2011-07-23_88N_SML_5
juvenile,88V,196,2011-07-23_88V_SML_2
juvenile,Z82,37,2011-07-23_Z82_SML_2
juvenile,Z82,213,2011-07-23_Z82_SML_2
81I,03N,53,2011-07-26_03N_SML_6
88N,03N,92,2011-07-26_03N_SML_6
Z82,26P,600,2011-07-26_26P_SML_6
82Z,26P,594,2011-07-26_26P_SML_6
juvenile,36D,6,2011-07-26_36D_SML_7
81I,53N,98,2011-07-26_53N_SML_1
81I,57T,115,2011-07-26_57T_SML_2
juvenile,72T,541,2011-07-26_72T_SML_7
juvenile,81I,20,2011-07-26_81I_SML_7
juvenile,03N,206,2011-07-27_03N_SML_2
infant,48L,22,2011-07-27_48L_SML_4
juvenile,72T,317,2011-07-27_72T_SML_6
82V,88N,55,2011-07-27_88N_SML_3
juvenile,T83,69,2011-07-27_T83_SML_3
81I,57T,23,2011-07-29_57T_SML_5
81I,57T,16,2011-07-29_57T_SML_5
81I,57T,39,2011-07-29_57T_SML_5
81I,57T,86,2011-07-29_57T_SML_5
03N,81I,47,2011-07-29_81I_SML_2
88N,82Z,72,2011-07-29_82Z_SML_1
74K,98V,39,2011-07-29_98V_SML_3
82Z,T83,40,2011-07-29_T83_SML_5
82Z,T83,11,2011-07-29_T83_SML_5
74K,53N,105,2011-07-03_53N_SML_2
74K,53N,64,2011-07-03_53N_SML_2
juvenile,88V,175,2011-07-03_88V_SML_2
5A0,26P,185,2011-07-30_26P_SML_2
juvenile,30F,213,2011-07-30_30F_SML_4
juvenile,30F,169,2011-07-30_30F_SML_4
juvenile,72T,33,2011-07-30_72T_SML_5
juvenile,72T,31,2011-07-30_72T_SML_5
juvenile,72T,60,2011-07-30_72T_SML_5
70T,72T,8,2011-07-30_72T_SML_5
5A0,4A9,122,2011-07-04_4A9_SML_3
9A1,70T,13,2011-07-04_70T_SML_5
5A1,38Z,73,2011-07-05_38Z_SML_7
5A1,38Z,60,2011-07-05_38Z_SML_7
juvenile,4A9,33,2011-07-05_4A9_SML_7
57T,53N,254,2011-07-05_53N_SML_4
57T,53N,333,2011-07-05_53N_SML_4
juvenile,82V,324,2011-07-05_82V_SML_7
82Z,88N,85,2011-07-05_88N_SML_6
juvenile,88V,363,2011-07-05_88V_SML_4
81I,48L,350,2011-07-06_48L_SML_5
81I,57T,166,2011-07-06_57T_SML_6
9A1,70T,50,2011-07-06_70T_SML_5
Z82,03N,100,2011-07-09_03N_SML_5
9A1,82V,286,2011-07-09_82V_SML_2
9A1,82V,58,2011-07-09_82V_SML_2
juvenile,Z82,131,2011-07-09_Z82_SML_6
82Z,30F,23,2011-08-01_30F_SML_1
82Z,30F,151,2011-08-01_30F_SML_1
juvenile,30F,341,2011-08-01_30F_SML_1
81I,57T,47,2011-08-01_57T_SML_2
juvenile,5A0,89,2011-08-01_5A0_SML_1
juvenile,74K,319,2011-08-01_74K_SML_5
74K,7A9,21,2011-08-01_7A9_SML_2
74K,7A9,122,2011-08-01_7A9_SML_2
juvenile,7A9,307,2011-08-01_7A9_SML_2
