groom_giver,groom_reciever,constrained_duration,observation_name
37V,1C7,32,2013-07-17_37V_KB_1
83Z,adult male,514,2013-07-17_83Z_KB_3
1E2,24V,202,2013-07-18_1E2_KB_1
6C2,adult male,345,2013-07-18_6C2_KB_3
19A,adult male,394,2013-07-22_19A_KB_3
76J,4D8,45,2013-07-22_76J_KB_3
76J,adult male,43,2013-07-22_76J_KB_3
76J,4D8,141,2013-07-22_76J_KB_3
6D6,19A,364,2013-07-23_6D6_KB_1
21H,0B6,120,2013-07-24_21H_KB_1
76J,4D8,209,2013-07-24_76J_KB_2
1E2,76J,88,2013-07-26_1E2_KB_3
49V,51V,112,2013-07-26_49V_KB_6
86Z,adult male,228,2013-07-29_86Z_KB_2
1C7,3A2,58,2013-08-05_1C7_KB_1
24V,62R,52,2013-08-05_24V_KB_2
1C7,adult male,492,2013-08-06_1C7_KB_5
24V,62R,37,2013-08-07_24V_KB_1
1C5,6D4,520,2013-08-08_1C5_KB_6
1E2,adult male,314,2013-08-08_1E2_KB_6
1E2,adult male,172,2013-08-08_1E2_KB_6
62R,0B6,243,2013-08-08_62R_KB_3
6C2,6D6,46,2013-08-28_6D6_CM_6
83Z,86Z,230,2013-08-28_86Z_CM_5
24V,4D8,82,2013-08-29_4D8_CM_5
4D8,76J,41,2013-08-29_76J_CM_5
44V,6D9,44,2013-08-30_6D9_CM_5
adult male,19A,483,2013-09-03_19A_CM_2
2C3,4D8,103,2013-09-03_4D8_CM_6
4D8,62R,73,2013-09-03_62R_CM_4
83Z,60R,125,2013-09-09_60R_CM_5
adult male,62R,208,2013-09-09_62R_CM_5
83Z,62R,21,2013-09-10_62R_CM_2
6D9,6D6,57,2013-09-10_6D6_CM_1
1C5,3A2,498,2013-09-11_3A2_CM_5
1C7,49V,101,2013-09-11_49V_CM_6
adult male,62R,119,2013-09-12_62R_CM_6
adult male,62R,105,2013-09-12_62R_CM_6
6D4,6D9,99,2013-09-12_6D9_CM_4
60R,4D8,511,2013-09-13_4D8_CM_3
44V,6D6,185,2013-09-13_6D6_CM_6
4D8,24V,118,2013-09-16_24V_CM_3
3A2,37V,139,2013-09-16_37V_CM_6
adult male,53E,595,2013-09-16_53E_CM_4
adult male,6D6,114,2013-09-16_6D6_CM_5
adult male,6D6,170,2013-09-16_6D6_CM_5
86Z,0B6,372,2013-09-18_0B6_CM_6
76J,51V,104,2013-09-18_51V_CM_2
2C4,83Z,374,2013-09-18_83Z_CM_6
93O,83Z,99,2013-09-18_83Z_CM_6
adult male,9C5,45,2013-09-18_9C5_CM_3
44V,1C7,40,2013-09-19_1C7_CM_4
62R,1E2,65,2013-09-19_1E2_CM_3
62R,1E2,118,2013-09-19_1E2_CM_3
adult male,62R,358,2013-09-19_62R_CM_1
adult male,62R,88,2013-09-19_62R_CM_1
adult male,1C5,22,2013-09-23_1C5_CM_1
adult male,1C5,247,2013-09-23_1C5_CM_1
44V,1C7,56,2013-09-23_1C7_CM_5
1C7,37V,51,2013-09-23_37V_CM_5
51V,4D8,49,2013-09-23_4D8_CM_6
83Z,62R,464,2013-09-23_62R_CM_2
3A2,6D4,72,2013-09-23_6D4_CM_3
19A,37V,60,2013-09-24_37V_CM_2
adult male,62R,42,2013-09-24_62R_CM_4
62R,0B6,164,2013-09-26_0B6_CM_6
62R,4D8,116,2013-09-26_4D8_CM_5
62R,6D4,19,2013-09-26_6D4_CM_1
74T,6D9,85,2013-09-26_6D9_CM_4
2C4,83Z,38,2013-09-26_83Z_CM_3
24V,93O,79,2013-09-26_93O_CM_5
4D8,76J,47,2013-09-27_76J_CM_3
83Z,24V,252,2013-09-30_24V_CM_4
62R,2C4,83,2013-09-30_2C4_CM_4
24V,0B6,61,2013-10-01_0B6_CM_4
24V,1E2,46,2013-10-01_1E2_CM_4
1E2,24V,33,2013-10-01_24V_CM_3
1E2,24V,8,2013-10-01_24V_CM_3
adult male,9C5,246,2013-10-01_9C5_CM_5
adult male,6C2,43,2013-10-02_6C2_CM_4
adult male,6C2,30,2013-10-02_6C2_CM_4
76J,0B6,50,2013-10-04_0B6_CM_4
adult male,1C5,36,2013-10-04_1C5_CM_4
44V,49V,42,2013-10-04_49V_CM_4
adult male,62R,161,2013-10-04_62R_CM_6
62R,83Z,33,2013-10-04_83Z_CM_6
83Z,24V,138,2013-10-07_24V_CM_5
60R,2C4,101,2013-10-07_2C4_CM_5
adult male,53E,490,2013-10-07_53E_CM_3
6C2,74T,27,2013-10-07_74T_CM_4
53E,2C4,118,2013-10-08_2C4_CM_1
53E,2C4,167,2013-10-08_2C4_CM_1
adult male,86Z,102,2013-10-08_86Z_CM_5
51V,49V,53,2013-10-09_49V_CM_3
62R,51V,115,2013-10-09_51V_CM_6
6D9,62R,355,2013-10-09_62R_CM_5
adult male,9C5,184,2013-10-09_9C5_CM_6
3A2,0B6,421,2013-10-10_0B6_CM_5
3A2,0B6,124,2013-10-10_0B6_CM_5
51V,93O,48,2013-10-11_93O_CM_3
51V,93O,25,2013-10-11_93O_CM_3
53E,2C4,60,2013-10-14_2C4_CM_6
24V,51V,141,2013-10-14_51V_CM_4
6D4,24V,62,2013-10-15_24V_CM_3
adult male,1C5,99,2013-10-16_1C5_CM_1
53E,2C4,44,2013-10-16_2C4_CM_5
83Z,6C2,171,2013-10-16_6C2_CM_5
adult male,76J,257,2013-10-16_76J_CM_4
adult male,1C5,88,2013-10-17_1C5_CM_5
1C5,62R,410,2013-10-17_62R_CM_6
86Z,76J,306,2013-10-17_76J_CM_6
adult male,86Z,82,2013-10-17_86Z_CM_5
24V,3A2,142,2013-10-18_3A2_CM_5
6D6,49V,99,2013-10-18_49V_CM_4
62R,55J,46,2013-10-18_55J_CM_5
19A,74T,83,2013-10-18_74T_CM_1
4D8,0B6,34,2013-10-21_0B6_CM_5
76J,1C7,47,2013-10-21_1C7_CM_1
83Z,51V,234,2013-10-21_51V_CM_4
3A2,6C2,252,2013-10-21_6C2_CM_2
86Z,74T,125,2013-10-21_74T_CM_6
86Z,74T,34,2013-10-21_74T_CM_6
3A2,2C3,229,2013-10-23_2C3_CM_5
6C2,62R,136,2013-10-23_62R_CM_5
